模式,点位编号,点位别名,点位名称,日期,记录编号,同日重复组编号,是否基线点,实际_灰斑病发病株率,实际_灰斑病病情指数,预测_灰斑病发病株率,预测_灰斑病病情指数,实际_灰斑病发病株率风险,预测_灰斑病发病株率风险,实际_灰斑病病情指数风险,预测_灰斑病病情指数风险,实际_综合风险,预测_综合风险,实际_大斑病发病株率,实际_大斑病病情指数,预测_大斑病发病株率,预测_大斑病病情指数,实际_大斑病发病株率风险,预测_大斑病发病株率风险,实际_大斑病病情指数风险,预测_大斑病病情指数风险,实际_白斑病发病株率,实际_白斑病病情指数,预测_白斑病发病株率,预测_白斑病病情指数,实际_白斑病发病株率风险,预测_白斑病发病株率风险,实际_白斑病病情指数风险,预测_白斑病病情指数风险
cv_optimized,1,S1 周公山镇余家村,周公山镇余家村,2025-05-22,2,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,1,S1 周公山镇余家村,周公山镇余家村,2025-05-29,3,1,0,0.0,0.0,2.2649991512298584,2.9274442195892334,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.07047685980796814,1.6607937812805176,低风险,低风险,低风险,低风险
cv_optimized,1,S1 周公山镇余家村,周公山镇余家村,2025-06-12,4,1,0,0.0,0.0,0.2116524875164032,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.721116840839386,3.399970293045044,低风险,低风险,低风险,低风险,0.0,0.0,0.14260457456111908,0.0,低风险,低风险,低风险,低风险
cv_optimized,1,S1 周公山镇余家村,周公山镇余家村,2025-06-19,5,1,0,0.0,0.0,1.3995511531829834,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.09290239959955215,3.836649179458618,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.2423124611377716,低风险,低风险,低风险,低风险
cv_optimized,1,S1 周公山镇余家村,周公山镇余家村,2025-06-26,6,1,0,0.0,0.0,0.38594910502433777,0.29409968852996826,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,1.1752067804336548,低风险,低风险,低风险,低风险,0.0,0.0,0.38026854395866394,0.4073740839958191,低风险,低风险,低风险,低风险
cv_optimized,1,S1 周公山镇余家村,周公山镇余家村,2025-07-03,7,1,0,0.0,0.0,0.16094669699668884,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.10150738805532455,0.0,低风险,低风险,低风险,低风险
cv_optimized,1,S1 周公山镇余家村,周公山镇余家村,2025-07-10,8,1,0,0.0,0.0,4.589277267456055,0.5108155608177185,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,1.169572114944458,0.0,低风险,低风险,低风险,低风险
cv_optimized,1,S1 周公山镇余家村,周公山镇余家村,2025-07-17,9,1,0,0.0,0.0,0.4170806109905243,0.14523164927959442,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.00977849680930376,0.008611788973212242,低风险,低风险,低风险,低风险,0.0,0.0,1.0723869800567627,0.5704758763313293,低风险,低风险,低风险,低风险
cv_optimized,2,S2 蒙顶山茶南部加工园,蒙顶山茶南部加工园,2025-05-21,10,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
cv_optimized,2,S2 蒙顶山茶南部加工园,蒙顶山茶南部加工园,2025-05-28,11,1,0,0.0,0.0,4.667350769042969,0.011991201899945736,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.008363676257431507,0.06357988715171814,低风险,低风险,低风险,低风险,0.0,0.0,0.08331935852766037,0.0,低风险,低风险,低风险,低风险
