模式,点位编号,点位别名,点位名称,日期,记录编号,同日重复组编号,是否基线点,实际_灰斑病发病株率,实际_灰斑病病情指数,预测_灰斑病发病株率,预测_灰斑病病情指数,实际_灰斑病发病株率风险,预测_灰斑病发病株率风险,实际_灰斑病病情指数风险,预测_灰斑病病情指数风险,实际_综合风险,预测_综合风险,实际_大斑病发病株率,实际_大斑病病情指数,预测_大斑病发病株率,预测_大斑病病情指数,实际_大斑病发病株率风险,预测_大斑病发病株率风险,实际_大斑病病情指数风险,预测_大斑病病情指数风险,实际_白斑病发病株率,实际_白斑病病情指数,预测_白斑病发病株率,预测_白斑病病情指数,实际_白斑病发病株率风险,预测_白斑病发病株率风险,实际_白斑病病情指数风险,预测_白斑病病情指数风险
full_fit,1,S1 周公山镇余家村,周公山镇余家村,2025-05-22,2,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,1,S1 周公山镇余家村,周公山镇余家村,2025-05-29,3,1,0,0.0,0.0,0.01109633594751358,0.012960750609636307,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.009378899820148945,0.0,低风险,低风险,低风险,低风险
full_fit,1,S1 周公山镇余家村,周公山镇余家村,2025-06-12,4,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,1,S1 周公山镇余家村,周公山镇余家村,2025-06-19,5,1,0,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.07098156213760376,0.017404235899448395,低风险,低风险,低风险,低风险
full_fit,1,S1 周公山镇余家村,周公山镇余家村,2025-06-26,6,1,0,0.0,0.0,0.0,0.04625227302312851,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,1,S1 周公山镇余家村,周公山镇余家村,2025-07-03,7,1,0,0.0,0.0,0.0,0.03573400899767876,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.011819745413959026,0.0192671287804842,低风险,低风险,低风险,低风险
full_fit,1,S1 周公山镇余家村,周公山镇余家村,2025-07-10,8,1,0,0.0,0.0,0.24214255809783936,0.026234926655888557,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.01454720925539732,低风险,低风险,低风险,低风险
full_fit,1,S1 周公山镇余家村,周公山镇余家村,2025-07-17,9,1,0,0.0,0.0,0.08582845330238342,0.06699515879154205,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.012956674210727215,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,2,S2 蒙顶山茶南部加工园,蒙顶山茶南部加工园,2025-05-21,10,1,1,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
full_fit,2,S2 蒙顶山茶南部加工园,蒙顶山茶南部加工园,2025-05-28,11,1,0,0.0,0.0,0.0463876873254776,0.0,低风险,低风险,低风险,低风险,低风险,低风险,0.0,0.0,0.0005756417522206903,0.0,低风险,低风险,低风险,低风险,0.0,0.0,0.0,0.0,低风险,低风险,低风险,低风险
