点位编号,点位名称,日期,记录编号,品种集合,生育期标签,生育期编码,灰斑病发病株率,灰斑病病情指数,大斑病发病株率,大斑病病情指数,白斑病发病株率,白斑病病情指数,累计偏移天数,偏移记录数,同日重复组编号,原始_10m风速均值,原始_10m风速最大值,原始_10m风速最小值,原始_24小时最大降水量,原始_24小时最小降水量,原始_24小时降水量之和,原始_相对湿度均值,原始_相对湿度最大值,原始_相对湿度最小值,原始_2m气温均值(℃),原始_2m气温最大值(℃),原始_2m气温最小值(℃),原始_土壤湿度,原始_地表温度均值(℃),原始_地表温度最大值(℃),原始_地表温度最小值(℃),原始_地面气压均值(kPa),原始_地面气压最大值(kPa),原始_地面气压最小值(kPa),原始_短波辐射均值,原始_短波辐射最大值,原始_短波辐射最小值,原始_0-10cm土壤相对湿度,原始_5cm土壤温度(℃),有效积温_GDD,累计降水_7d(mm),累计降水_14d(mm),rain_21d_sum,rain_28d_sum,连续降雨天数,降雨间歇长度(天),平均气温℃_7d,平均气温℃_14d,平均气温℃_21d,temp_28d_mean,24h温差℃,平均相对湿度_7d,平均相对湿度_14d,平均相对湿度_21d,rh_28d_mean,湿度日较差,平均土壤相对湿度_7d,平均土壤相对湿度_14d,平均土壤相对湿度_21d,soil_rel_humidity_28d_mean,平均短波辐射_7d,radiation_28d_mean,平均风速_7d,wind_28d_mean,是否弱风日,弱风日连续天数,寡照连续天数,站点低温阈值(℃),站点高温阈值(℃),连续高温天数,连续低温天数,连续适温天数,连续高湿天数,连续较高湿度天数,7天内高湿天数,high_humidity_28d_count,7天内强降雨次数,heavy_rain_28d_count,连续强降雨次数,7天最大单日降雨_mm,max_single_day_rain_28d,连续高温高湿天数,连续适温高湿天数,连续弱风高湿天数
1,周公山镇余家村,2025-05-22,2,同玉609,V14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.013643503189087,2.577009677886963,0.14351041615009308,2.310421943664551,0.0,8.507671356201172,73.97625732421875,100.0,39.95880889892578,24.164270401000977,31.484500885009766,18.438129425048828,0.2519056499004364,26.798179626464844,39.86983871459961,19.138879776000977,92.07282257080078,92.39193725585938,91.80377197265625,219.39564514160156,960.579833984375,0.0,69.56998443603516,26.361099243164062,549.6355590820312,10.356950759887695,10.356950759887695,101.08833312988281,108.66989135742188,1.0,0.0,23.28255271911621,22.04647445678711,21.859121322631836,21.011178970336914,13.046371459960938,66.91002655029297,63.07343673706055,65.70762634277344,67.66999816894531,60.04119110107422,69.29768371582031,71.64600372314453,74.02861785888672,73.58457946777344,200.74435424804688,207.234619140625,0.7267998456954956,0.7224143743515015,1.0,61.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.507671356201172,78.33484649658203,0.0,0.0,0.0
1,周公山镇余家村,2025-05-29,3,同玉609,VT,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.4688264727592468,0.8161299228668213,0.1006467193365097,0.5139073133468628,0.0,1.4012200832366943,83.75395202636719,100.0,62.80634689331055,20.710500717163086,24.441669464111328,18.218650817871094,0.29357293248176575,21.145349502563477,26.028600692749023,17.455320358276367,91.86174774169922,92.35169219970703,91.5122299194336,102.24974060058594,374.04595947265625,0.0,81.07743835449219,21.16415023803711,624.54052734375,46.31840133666992,56.675350189208984,56.675350189208984,147.40673828125,1.0,0.0,20.700702667236328,21.991628646850586,21.597885131835938,21.569515228271484,6.223018646240234,77.71646881103516,72.31324768066406,67.95443725585938,68.70983123779297,37.19365310668945,78.18912506103516,73.74340057373047,73.82704162597656,75.06874084472656,157.2462921142578,202.55433654785156,0.717934787273407,0.7327381372451782,1.0,68.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,23.934799194335938,78.33484649658203,0.0,0.0,0.0
1,周公山镇余家村,2025-06-12,4,同玉609,R1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.532727062702179,1.1564078330993652,0.10354961454868317,0.0,0.0,0.0,52.17378616333008,100.0,29.365346908569336,27.571130752563477,35.36539840698242,21.11263084411621,0.22364869713783264,30.88426971435547,43.376060485839844,21.370899200439453,91.79290771484375,92.06253051757812,91.60957336425781,334.3163146972656,1035.4381103515625,0.0,61.76612854003906,30.065330505371094,807.5729370117188,0.0,14.814596176147461,61.13300323486328,71.48995208740234,0.0,8.0,25.836374282836914,23.073745727539062,22.282733917236328,22.532686233520508,14.252767562866211,57.04853057861328,66.8536605834961,70.47460174560547,69.58345794677734,70.63465118408203,69.4998779296875,75.11346435546875,76.13868713378906,74.4284439086914,251.49374389648438,185.61549377441406,0.7418761253356934,0.7253231406211853,1.0,82.0,0.0,18.0,28.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.934799194335938,0.0,0.0,0.0
1,周公山镇余家村,2025-06-19,5,同玉609,R1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0696213245391846,1.8157360553741455,0.2910350263118744,0.0,0.0,0.0,68.90709686279297,86.4957504272461,47.338253021240234,25.51569938659668,29.9755802154541,22.643600463867188,0.22780117392539978,26.418180465698242,33.01900100708008,21.83694076538086,91.54694366455078,91.62244415283203,91.47750091552734,135.17788696289062,527.1301879882812,0.0,62.91293716430664,26.320280075073242,922.5980834960938,5.995892524719238,5.995892524719238,20.810489654541016,67.12889099121094,0.0,2.0,26.43216896057129,26.134267807006836,24.193218231201172,23.320087432861328,7.331979751586914,65.82123565673828,61.43488311767578,66.509521484375,69.3112564086914,39.15749740600586,62.61189651489258,66.05589294433594,70.94627380371094,72.7569808959961,204.0802459716797,186.44947814941406,0.6851546168327332,0.7149118185043335,1.0,89.0,0.0,18.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.566403388977051,23.934799194335938,0.0,0.0,0.0
1,周公山镇余家村,2025-06-26,6,同玉609,R2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.4810916483402252,0.8140638470649719,0.21817617118358612,0.0,0.0,0.0,76.61940002441406,100.0,54.6536979675293,24.899900436401367,28.63405990600586,21.15605926513672,0.30083388090133667,25.407800674438477,30.257469177246094,21.216100692749023,91.84200286865234,92.05618286132812,91.62362670898438,183.3902130126953,543.3817138671875,0.0,83.08273315429688,24.966459274291992,1013.766357421875,90.33051300048828,96.32640075683594,96.32640075683594,111.14099884033203,0.0,2.0,23.024023056030273,24.72809410095215,25.097518920898438,23.900920867919922,7.478000640869141,79.9670639038086,72.89414978027344,67.61227416992188,69.87390899658203,45.3463020324707,78.98796844482422,70.79994201660156,70.36658477783203,72.95669555664062,148.96951293945312,184.38027954101562,0.5479517579078674,0.6724161505699158,1.0,96.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,40.998138427734375,40.998138427734375,0.0,0.0,0.0
1,周公山镇余家村,2025-07-03,7,同玉609,R2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.3588118553161621,0.6710200309753418,0.011937998235225677,3.456174612045288,0.0,9.656295776367188,93.44947814941406,100.0,78.18370819091797,22.827939987182617,24.488100051879883,21.48278045654297,0.3206319808959961,23.49272918701172,26.225549697875977,21.342599868774414,91.52925872802734,91.6178207397461,91.39282989501953,74.72805786132812,253.51864624023438,0.0,88.55046081542969,23.683040618896484,1114.4915771484375,110.95246887207031,201.28298950195312,207.27886962890625,207.27886962890625,3.0,0.0,24.389345169067383,23.70668601989746,24.61517906188965,24.920475006103516,3.005319595336914,83.87493896484375,81.92100524902344,76.55440521240234,71.67794036865234,21.81629180908203,86.92813873291016,82.95805358886719,76.17598724365234,74.50696563720703,166.14266967773438,192.67153930664062,0.495561420917511,0.6176360249519348,1.0,103.0,2.0,18.0,28.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,1.0,3.0,0.0,83.80626678466797,83.80626678466797,0.0,0.0,2.0
1,周公山镇余家村,2025-07-10,8,同玉609,R3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.6324793696403503,1.2406278848648071,0.11095742136240005,0.6421425938606262,0.0,0.6421425938606262,77.95682525634766,100.0,49.813968658447266,27.571739196777344,33.339839935302734,22.64006996154785,0.3064841330051422,28.810020446777344,36.032649993896484,23.314420700073242,91.66073608398438,91.85771179199219,91.5575180053711,309.08148193359375,982.9551391601562,0.0,84.64318084716797,27.954599380493164,1199.441650390625,165.89405822753906,267.19024658203125,357.520751953125,363.5166320800781,9.0,0.0,23.96827507019043,24.32680892944336,23.921871185302734,24.622852325439453,10.699769973754883,85.41255187988281,83.44159698486328,81.91616821289062,77.29481506347656,50.186031341552734,90.36577606201172,88.25640106201172,84.20645904541016,78.76686096191406,154.3045196533203,177.64524841308594,0.5772076845169067,0.5826801657676697,1.0,109.0,0.0,18.0,28.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,1.0,4.0,0.0,146.4057159423828,146.4057159423828,0.0,0.0,0.0
1,周公山镇余家村,2025-07-17,9,同玉609,R4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.3922805786132812,2.613521099090576,0.33722424507141113,0.0,0.0,0.0,72.5512924194336,97.40689086914062,50.69978332519531,27.752399444580078,32.645599365234375,23.961240768432617,0.27450284361839294,29.177600860595703,35.59376907348633,23.887300491333008,87.07523345947266,87.22762298583984,86.9009017944336,241.87448120117188,755.555419921875,0.0,75.81075286865234,28.615400314331055,1324.8604736328125,8.08220386505127,173.9762725830078,275.2724304199219,365.6029357910156,0.0,2.0,27.916963577270508,25.942623138427734,25.523527145385742,24.920642852783203,8.684358596801758,76.8587646484375,81.13566589355469,81.24732971191406,80.65181732177734,46.70710754394531,81.76026153564453,86.06303405761719,86.09102630615234,83.59490966796875,259.21502685546875,184.31687927246094,0.8443552851676941,0.6416550874710083,1.0,116.0,0.0,18.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.143139839172363,146.4057159423828,0.0,0.0,0.0
2,蒙顶山茶南部加工园,2025-05-21,10,同玉609,V14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.7083575129508972,1.614790916442871,0.09015421569347382,1.0913851261138916,0.0,1.4713242053985596,76.98077392578125,96.45599365234375,56.66990661621094,24.332000732421875,28.852750778198242,21.187040328979492,0.2855321764945984,25.352319717407227,32.32789993286133,20.931299209594727,93.5086669921875,93.71732330322266,93.24651336669922,123.75965881347656,542.2412109375,0.0,77.46798706054688,25.31730079650879,573.8934326171875,3.9741780757904053,3.9741780757904053,67.14032745361328,73.42677307128906,2.0,0.0,23.636449813842773,22.602521896362305,22.49721336364746,21.485055923461914,7.66571044921875,68.60482788085938,65.19091796875,67.70210266113281,70.10353088378906,39.78608703613281,77.53501892089844,79.47176361083984,80.94889068603516,81.5773696899414,203.71543884277344,218.35507202148438,0.46403104066848755,0.5935296416282654,1.0,61.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5028538703918457,56.35072326660156,0.0,0.0,0.0
2,蒙顶山茶南部加工园,2025-05-28,11,同玉609,VT,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.39439311623573303,1.3031539916992188,0.05047185719013214,0.0,0.0,0.0,78.34150695800781,100.0,55.45075225830078,22.088600158691406,26.989429473876953,18.359500885009766,0.316019207239151,23.49217987060547,31.19853973388672,18.650779724121094,94.15262603759766,94.40917205810547,93.99024963378906,216.0075225830078,755.6876831054688,0.0,85.73944091796875,23.036300659179688,658.0293579101562,35.75146484375,39.72563934326172,39.72563934326172,102.89178466796875,0.0,1.0,22.01942253112793,22.827938079833984,22.40815544128418,22.377761840820312,8.629928588867188,77.52266693115234,73.06375885009766,69.301513671875,70.1572494506836,44.54924774169922,81.1719741821289,79.35350036621094,80.03849029541016,81.00465393066406,187.6597137451172,223.0465087890625,0.6826015710830688,0.6220389008522034,1.0,68.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,17.720352172851562,56.35072326660156,0.0,0.0,0.0
