病害类型,病害中文,特征变量,特征变量中文,基线均值RMSE,置换后均值RMSE,重要性增量RMSE,基线输出1_RMSE,基线输出2_RMSE,置换输出1_RMSE,置换输出2_RMSE,排名
gray,灰斑病,原始_地表温度最大值(℃),原始_地表温度最大值(℃),0.1059210654348135,0.11109310016036034,0.005172034725546837,0.15260028839111328,0.05924184247851372,0.15875764191150665,0.06342855840921402,1
gray,灰斑病,平均相对湿度_14d,平均相对湿度_14d,0.1059210654348135,0.10999694652855396,0.004075881093740463,0.15260028839111328,0.05924184247851372,0.15978531539440155,0.060208577662706375,2
gray,灰斑病,24h温差℃,24h温差℃,0.1059210654348135,0.10987252742052078,0.003951461985707283,0.15260028839111328,0.05924184247851372,0.1574515402317047,0.06229351460933685,3
gray,灰斑病,连续弱风高湿天数,连续弱风高湿天数,0.1059210654348135,0.10928518883883953,0.0033641234040260315,0.15260028839111328,0.05924184247851372,0.15899984538555145,0.05957053229212761,4
gray,灰斑病,原始_5cm土壤温度(℃),原始_5cm土壤温度(℃),0.1059210654348135,0.10925989598035812,0.0033388305455446243,0.15260028839111328,0.05924184247851372,0.15447065234184265,0.0640491396188736,5
gray,灰斑病,原始_地表温度均值(℃),原始_地表温度均值(℃),0.1059210654348135,0.10921395383775234,0.0032928884029388428,0.15260028839111328,0.05924184247851372,0.15771391987800598,0.0607139877974987,6
gray,灰斑病,原始_地面气压最大值(kPa),原始_地面气压最大值(kPa),0.1059210654348135,0.10909002274274826,0.003168957307934761,0.15260028839111328,0.05924184247851372,0.15526673197746277,0.06291331350803375,7
gray,灰斑病,平均土壤相对湿度_14d,平均土壤相对湿度_14d,0.1059210654348135,0.10876412317156792,0.0028430577367544174,0.15260028839111328,0.05924184247851372,0.15816283226013184,0.059365414083004,8
gray,灰斑病,平均气温℃_14d,平均气温℃_14d,0.1059210654348135,0.1082050446420908,0.002283979207277298,0.15260028839111328,0.05924184247851372,0.1582578867673874,0.058152202516794205,9
gray,灰斑病,平均相对湿度_7d,平均相对湿度_7d,0.1059210654348135,0.10810966789722443,0.002188602462410927,0.15260028839111328,0.05924184247851372,0.15277276933193207,0.06344656646251678,10
gray,灰斑病,原始_2m气温最小值(℃),原始_2m气温最小值(℃),0.1059210654348135,0.10809551365673542,0.0021744482219219208,0.15260028839111328,0.05924184247851372,0.15526054799556732,0.06093047931790352,11
gray,灰斑病,原始_短波辐射均值,原始_短波辐射均值,0.1059210654348135,0.10807129181921482,0.0021502263844013214,0.15260028839111328,0.05924184247851372,0.1566919982433319,0.05945058539509773,12
gray,灰斑病,原始_地面气压最小值(kPa),原始_地面气压最小值(kPa),0.1059210654348135,0.10752725601196289,0.0016061905771493912,0.15260028839111328,0.05924184247851372,0.15488362312316895,0.060170888900756836,13
gray,灰斑病,原始_24小时降水量之和,原始_24小时降水量之和,0.1059210654348135,0.10730666294693947,0.001385597512125969,0.15260028839111328,0.05924184247851372,0.1547730714082718,0.05984025448560715,14
gray,灰斑病,7天最大单日降雨_mm,7天最大单日降雨_mm,0.1059210654348135,0.10727659426629543,0.0013555288314819336,0.15260028839111328,0.05924184247851372,0.15434271097183228,0.06021047756075859,15
gray,灰斑病,原始_相对湿度均值,原始_相对湿度均值,0.1059210654348135,0.10726956836879253,0.0013485029339790344,0.15260028839111328,0.05924184247851372,0.15422089397907257,0.0603182427585125,16
gray,灰斑病,原始_2m气温均值(℃),原始_2m气温均值(℃),0.1059210654348135,0.1072259321808815,0.0013048667460680008,0.15260028839111328,0.05924184247851372,0.1552162915468216,0.059235572814941406,17
gray,灰斑病,原始_10m风速均值,原始_10m风速均值,0.1059210654348135,0.10721204429864883,0.0012909788638353348,0.15260028839111328,0.05924184247851372,0.1538296490907669,0.06059443950653076,18
gray,灰斑病,平均相对湿度_28d,平均相对湿度_28d,0.1059210654348135,0.10712039284408092,0.0011993274092674255,0.15260028839111328,0.05924184247851372,0.15276341140270233,0.06147737428545952,19
gray,灰斑病,降雨间歇长度(天),降雨间歇长度(天),0.1059210654348135,0.10688923858106136,0.0009681731462478638,0.15260028839111328,0.05924184247851372,0.1558116376399994,0.05796683952212334,20
gray,灰斑病,平均风速_28d,平均风速_28d,0.1059210654348135,0.10688271373510361,0.0009616483002901077,0.15260028839111328,0.05924184247851372,0.15544171631336212,0.05832371115684509,21
gray,灰斑病,连续适温天数,连续适温天数,0.1059210654348135,0.10673650726675987,0.000815441831946373,0.15260028839111328,0.05924184247851372,0.15368779003620148,0.05978522449731827,22
gray,灰斑病,平均气温℃_21d,平均气温℃_21d,0.1059210654348135,0.10670129768550396,0.0007802322506904602,0.15260028839111328,0.05924184247851372,0.15476156771183014,0.05864102765917778,23
