病害类型,病害中文,特征变量,特征变量中文,基线均值RMSE,置换后均值RMSE,重要性增量RMSE,基线输出1_RMSE,基线输出2_RMSE,置换输出1_RMSE,置换输出2_RMSE,排名
white,白斑病,累计降水_14d(mm),累计降水_14d(mm),0.14783263951539993,0.15418264642357826,0.0063500069081783295,0.20637765526771545,0.08928762376308441,0.21939894556999207,0.08896634727716446,1
white,白斑病,平均风速_28d,平均风速_28d,0.14783263951539993,0.15359151363372803,0.0057588741183280945,0.20637765526771545,0.08928762376308441,0.21073924005031586,0.0964437872171402,2
white,白斑病,平均气温℃_14d,平均气温℃_14d,0.14783263951539993,0.1533694975078106,0.00553685799241066,0.20637765526771545,0.08928762376308441,0.20876657962799072,0.09797241538763046,3
white,白斑病,弱风日连续天数,弱风日连续天数,0.14783263951539993,0.15185381472110748,0.00402117520570755,0.20637765526771545,0.08928762376308441,0.20791682600975037,0.0957908034324646,4
white,白斑病,平均气温℃_21d,平均气温℃_21d,0.14783263951539993,0.15181820839643478,0.003985568881034851,0.20637765526771545,0.08928762376308441,0.2071286141872406,0.09650780260562897,5
white,白斑病,连续低温天数,连续低温天数,0.14783263951539993,0.15171557292342186,0.003882933408021927,0.20637765526771545,0.08928762376308441,0.20968423783779144,0.09374690800905228,6
white,白斑病,原始_短波辐射均值,原始_短波辐射均值,0.14783263951539993,0.1511678621172905,0.003335222601890564,0.20637765526771545,0.08928762376308441,0.20648778975009918,0.09584793448448181,7
white,白斑病,平均短波辐射_28d,平均短波辐射_28d,0.14783263951539993,0.15068958699703217,0.0028569474816322327,0.20637765526771545,0.08928762376308441,0.21616755425930023,0.0852116197347641,8
white,白斑病,平均土壤相对湿度_14d,平均土壤相对湿度_14d,0.14783263951539993,0.15068813040852547,0.002855490893125534,0.20637765526771545,0.08928762376308441,0.20865124464035034,0.09272501617670059,9
white,白斑病,平均风速_7d,平均风速_7d,0.14783263951539993,0.15011241659522057,0.002279777079820633,0.20637765526771545,0.08928762376308441,0.21059110760688782,0.08963372558355331,10
white,白斑病,原始_地面气压最大值(kPa),原始_地面气压最大值(kPa),0.14783263951539993,0.15001751482486725,0.0021848753094673157,0.20637765526771545,0.08928762376308441,0.21337684988975525,0.08665817975997925,11
white,白斑病,原始_0-10cm土壤相对湿度,原始_0-10cm土壤相对湿度,0.14783263951539993,0.14998387545347214,0.0021512359380722046,0.20637765526771545,0.08928762376308441,0.21169166266918182,0.08827608823776245,12
white,白斑病,28天最大单日降雨_mm,28天最大单日降雨_mm,0.14783263951539993,0.14991764351725578,0.0020850040018558502,0.20637765526771545,0.08928762376308441,0.20277515053749084,0.09706013649702072,13
white,白斑病,原始_10m风速最大值,原始_10m风速最大值,0.14783263951539993,0.14989295974373817,0.0020603202283382416,0.20637765526771545,0.08928762376308441,0.2113286256790161,0.08845729380846024,14
white,白斑病,连续降雨天数,连续降雨天数,0.14783263951539993,0.14970798417925835,0.0018753446638584137,0.20637765526771545,0.08928762376308441,0.20869073271751404,0.09072523564100266,15
white,白斑病,平均土壤相对湿度_28d,平均土壤相对湿度_28d,0.14783263951539993,0.1492752879858017,0.001442648470401764,0.20637765526771545,0.08928762376308441,0.20583409070968628,0.09271648526191711,16
white,白斑病,有效积温_GDD,有效积温_GDD,0.14783263951539993,0.14919444546103477,0.001361805945634842,0.20637765526771545,0.08928762376308441,0.2085002362728119,0.08988865464925766,17
white,白斑病,24h温差℃,24h温差℃,0.14783263951539993,0.14903979003429413,0.0012071505188941956,0.20637765526771545,0.08928762376308441,0.2083064317703247,0.08977314829826355,18
white,白斑病,生育期编码,生育期编码,0.14783263951539993,0.1488834284245968,0.0010507889091968536,0.20637765526771545,0.08928762376308441,0.20327040553092957,0.09449645131826401,19
white,白斑病,7天内高湿天数,7天内高湿天数,0.14783263951539993,0.14884129166603088,0.001008652150630951,0.20637765526771545,0.08928762376308441,0.20979546010494232,0.08788712322711945,20
white,白斑病,湿度日较差,湿度日较差,0.14783263951539993,0.14871076866984367,0.0008781291544437408,0.20637765526771545,0.08928762376308441,0.2143608182668686,0.08306071907281876,21
white,白斑病,连续高温天数,连续高温天数,0.14783263951539993,0.14870797470211983,0.0008753351867198944,0.20637765526771545,0.08928762376308441,0.2074131816625595,0.09000276774168015,22
white,白斑病,寡照连续天数,寡照连续天数,0.14783263951539993,0.14852527156472206,0.0006926320493221283,0.20637765526771545,0.08928762376308441,0.20646022260189056,0.09059032052755356,23
white,白斑病,原始_24小时降水量之和,原始_24小时降水量之和,0.14783263951539993,0.1485038660466671,0.0006712265312671661,0.20637765526771545,0.08928762376308441,0.2075292468070984,0.08947848528623581,24
