特征变量,特征变量中文,目标变量,目标变量中文,配对样本数,Spearman系数,Spearman显著性p值,Pearson系数,Pearson显著性p值,排名
平均气温℃_21d,平均气温℃_21d,gray_incidence,灰斑病发病株率,119,-0.665662023378743,1.4685493132355089e-16,-0.6151798192560614,9.786304594157597e-14,1
平均气温℃_28d,平均气温℃_28d,gray_incidence,灰斑病发病株率,119,-0.6653296821838728,1.5391106700834333e-16,-0.6159067118315578,8.985098382803192e-14,2
平均气温℃_14d,平均气温℃_14d,gray_incidence,灰斑病发病株率,119,-0.6542735408056912,7.092477025470105e-16,-0.6088575948357131,2.0383698195496692e-13,3
平均气温℃_7d,平均气温℃_7d,gray_incidence,灰斑病发病株率,119,-0.6440598457121808,2.752457912882549e-15,-0.5991420082189017,6.101473090282899e-13,4
生育期编码,生育期编码,gray_incidence,灰斑病发病株率,119,0.5231231554233731,1.037223898280087e-09,0.533462130078792,4.1959610164971767e-10,5
平均相对湿度_28d,平均相对湿度_28d,gray_incidence,灰斑病发病株率,119,0.422195047108841,1.7308421475710217e-06,0.3872134736694565,1.359078973813451e-05,6
平均相对湿度_21d,平均相对湿度_21d,gray_incidence,灰斑病发病株率,119,0.38713691548253465,1.3648797594870426e-05,0.35407724399677465,7.79792720077089e-05,7
连续低温天数,连续低温天数,gray_incidence,灰斑病发病株率,119,0.37589518748723694,2.5220187596875746e-05,0.2816541018594732,0.0019148748058465364,8
平均相对湿度_14d,平均相对湿度_14d,gray_incidence,灰斑病发病株率,119,0.34184190216772686,0.00014181598067146165,0.3317852922408537,0.00022769091063576713,9
平均短波辐射_28d,平均短波辐射_28d,gray_incidence,灰斑病发病株率,119,-0.32735028029838725,0.00027913600686428467,-0.26364928658884057,0.0037655845913566514,10
平均气温℃_7d,平均气温℃_7d,gray_index,灰斑病病情指数,118,-0.7051354887036202,4.977108718292097e-19,-0.6149704974663388,1.2772102222371032e-13,1
平均气温℃_21d,平均气温℃_21d,gray_index,灰斑病病情指数,118,-0.7048443380163972,5.22046006185179e-19,-0.599984396651772,6.974174266390792e-13,2
平均气温℃_14d,平均气温℃_14d,gray_index,灰斑病病情指数,118,-0.7026646423309726,7.449368694569433e-19,-0.6035355499760767,4.7018789125961e-13,3
平均气温℃_28d,平均气温℃_28d,gray_index,灰斑病病情指数,118,-0.6985570569598837,1.4432361303619856e-18,-0.5898664629179782,2.0890947980252673e-12,4
生育期编码,生育期编码,gray_index,灰斑病病情指数,118,0.5689005841761133,1.804603350264423e-11,0.5261800227635737,9.401798249280195e-10,5
连续低温天数,连续低温天数,gray_index,灰斑病病情指数,118,0.4700796062235543,7.842445980844944e-08,0.5308619847697903,6.260258430835173e-10,6
