特征变量,特征变量中文,目标变量,目标变量中文,配对样本数,Spearman系数,Spearman显著性p值,Pearson系数,Pearson显著性p值
有效积温_GDD,有效积温_GDD,gray_incidence,灰斑病发病株率,119,-0.005361900091655647,0.9538486426987338,-0.10347766222863376,0.26275533578429167
有效积温_GDD,有效积温_GDD,gray_index,灰斑病病情指数,118,0.04335784558371774,0.6410778295027498,-0.03018874860650976,0.7455467988142359
有效积温_GDD,有效积温_GDD,blight_incidence,大斑病发病株率,121,0.002884542771083724,0.9749500022055748,-0.16589441718293116,0.06898480844615365
有效积温_GDD,有效积温_GDD,blight_index,大斑病病情指数,121,0.009480509659215786,0.917799928280922,-0.09224383435398137,0.31427264876605326
有效积温_GDD,有效积温_GDD,white_incidence,白斑病发病株率,120,0.27515707032747205,0.0023533774180544333,0.1317416917562989,0.15148323571014483
有效积温_GDD,有效积温_GDD,white_index,白斑病病情指数,120,0.2859213659303758,0.0015471647333037783,0.18005649806146531,0.049080743951544305
生育期编码,生育期编码,gray_incidence,灰斑病发病株率,119,0.5231231554233731,1.037223898280087e-09,0.533462130078792,4.1959610164971767e-10
生育期编码,生育期编码,gray_index,灰斑病病情指数,118,0.5689005841761133,1.804603350264423e-11,0.5261800227635737,9.401798249280195e-10
生育期编码,生育期编码,blight_incidence,大斑病发病株率,121,0.22226992785543986,0.014272785246187436,0.11062737723128879,0.22705440363167448
生育期编码,生育期编码,blight_index,大斑病病情指数,121,0.23220901728880375,0.01037964471239086,0.170492544967543,0.06153044471193942
生育期编码,生育期编码,white_incidence,白斑病发病株率,120,0.4130487029513065,2.7526828706459963e-06,0.40533335817863486,4.3811662468880635e-06
生育期编码,生育期编码,white_index,白斑病病情指数,120,0.4263851802637932,1.1990710093282433e-06,0.42051593039437907,1.736134992542926e-06
累计降水_21d(mm),累计降水_21d(mm),gray_incidence,灰斑病发病株率,119,0.037166179554232924,0.6882034179630402,-0.055326121817022345,0.5500906945448225
累计降水_21d(mm),累计降水_21d(mm),gray_index,灰斑病病情指数,118,0.02577863922545541,0.7817088514613822,-0.05729617768525187,0.5377118147672572
累计降水_21d(mm),累计降水_21d(mm),blight_incidence,大斑病发病株率,121,0.32350248035842816,0.0002952651849884525,0.2176193570040708,0.01649494417805132
累计降水_21d(mm),累计降水_21d(mm),blight_index,大斑病病情指数,121,0.3177129352851964,0.0003837223143541041,0.1063806618281472,0.24550384948780019
累计降水_21d(mm),累计降水_21d(mm),white_incidence,白斑病发病株率,120,0.05769354215311343,0.5313755217845085,0.005673513144328508,0.9509608625904986
累计降水_21d(mm),累计降水_21d(mm),white_index,白斑病病情指数,120,0.042358720878574195,0.6459713732994002,-0.10469924215951489,0.2551000514032051
累计降水_7d(mm),累计降水_7d(mm),gray_incidence,灰斑病发病株率,119,0.054478934174247325,0.5562240394607163,-0.03547691578829245,0.701687809032685
累计降水_7d(mm),累计降水_7d(mm),gray_index,灰斑病病情指数,118,0.05655415706269105,0.542999929037066,-0.00040361031005345073,0.9965390605953145
累计降水_7d(mm),累计降水_7d(mm),blight_incidence,大斑病发病株率,121,0.3173254569371884,0.00039043853953866375,0.18593625532374616,0.041160395159801404
累计降水_7d(mm),累计降水_7d(mm),blight_index,大斑病病情指数,121,0.31591005789995646,0.0004159041752505903,0.13270941522482718,0.1467583276352881
累计降水_7d(mm),累计降水_7d(mm),white_incidence,白斑病发病株率,120,-0.06911956859466695,0.45317069201621407,-0.08204314818383987,0.37301842182796374
累计降水_7d(mm),累计降水_7d(mm),white_index,白斑病病情指数,120,-0.08357427630319232,0.36413361792056786,-0.1348604334210115,0.14194761590004767
累计降水_14d(mm),累计降水_14d(mm),gray_incidence,灰斑病发病株率,119,0.08562229865280602,0.35451263582062476,-0.03676677239411953,0.6913830187639144
累计降水_14d(mm),累计降水_14d(mm),gray_index,灰斑病病情指数,118,0.07513261517846406,0.4187425075775796,-0.03476279966096471,0.7086172546128782
累计降水_14d(mm),累计降水_14d(mm),blight_incidence,大斑病发病株率,121,0.31041109393581745,0.0005300661910614314,0.1944624285479757,0.032571098182744534
累计降水_14d(mm),累计降水_14d(mm),blight_index,大斑病病情指数,121,0.3058950417355044,0.0006446702510224996,0.0979857979338467,0.2849655157982419
累计降水_14d(mm),累计降水_14d(mm),white_incidence,白斑病发病株率,120,0.03555144218705906,0.699872834426583,0.00041082314038678016,0.9964468426398718
累计降水_14d(mm),累计降水_14d(mm),white_index,白斑病病情指数,120,0.020218792100779606,0.826502126259165,-0.10258864012180703,0.2648572015499458
累计降水_28d(mm),累计降水_28d(mm),gray_incidence,灰斑病发病株率,119,0.07043894336623661,0.44651749729385903,0.025142841169187743,0.7860650552032932
累计降水_28d(mm),累计降水_28d(mm),gray_index,灰斑病病情指数,118,0.0681764744350872,0.46321908638968806,0.01010651204544771,0.9135047649123402
累计降水_28d(mm),累计降水_28d(mm),blight_incidence,大斑病发病株率,121,0.394814227431671,7.4183311057034865e-06,0.2901827407919651,0.0012437929873249166
累计降水_28d(mm),累计降水_28d(mm),blight_index,大斑病病情指数,121,0.38994011248702204,9.818561220876143e-06,0.1785988703355184,0.049997698756175095
累计降水_28d(mm),累计降水_28d(mm),white_incidence,白斑病发病株率,120,0.14076284268379585,0.12515621820883752,0.09148372101737055,0.3203444909106635
累计降水_28d(mm),累计降水_28d(mm),white_index,白斑病病情指数,120,0.12605936590666833,0.17008309456468226,-0.05573474179221534,0.5454293592110785
连续降雨天数,连续降雨天数,gray_incidence,灰斑病发病株率,119,0.11323163802881153,0.220153160697604,-0.08379177724277147,0.36493225761177517
连续降雨天数,连续降雨天数,gray_index,灰斑病病情指数,118,0.13327901797874978,0.15020828595201371,-0.028506203439285935,0.759282938245113
连续降雨天数,连续降雨天数,blight_incidence,大斑病发病株率,121,0.3440947707078393,0.0001113410277940812,0.41693507023674053,1.963377217563312e-06
连续降雨天数,连续降雨天数,blight_index,大斑病病情指数,121,0.3423981124128559,0.00012097145479583493,0.26234707993876494,0.0036495975875414487
连续降雨天数,连续降雨天数,white_incidence,白斑病发病株率,120,0.2396947464746961,0.008369303418571276,0.2321683889060595,0.010722255196027649
连续降雨天数,连续降雨天数,white_index,白斑病病情指数,120,0.22952106041052564,0.01167825076600458,0.1578503620471211,0.08509172073423793
降雨间歇长度(天),降雨间歇长度(天),gray_incidence,灰斑病发病株率,119,-0.13578554231898274,0.14090234285617015,-0.1281984583309779,0.16469317386527654
降雨间歇长度(天),降雨间歇长度(天),gray_index,灰斑病病情指数,118,-0.15634907663664446,0.09089020472946549,-0.10066214807391904,0.2781041072070136
降雨间歇长度(天),降雨间歇长度(天),blight_incidence,大斑病发病株率,121,-0.19005881061563745,0.03679622759370127,-0.14725276184454486,0.10701284174413879
降雨间歇长度(天),降雨间歇长度(天),blight_index,大斑病病情指数,121,-0.18985372341538048,0.03700374228562688,-0.12191093064290687,0.18283559084101325
降雨间歇长度(天),降雨间歇长度(天),white_incidence,白斑病发病株率,120,-0.17920663172136916,0.050177537628166256,-0.12958862233761811,0.1583421004139138
降雨间歇长度(天),降雨间歇长度(天),white_index,白斑病病情指数,120,-0.16558906346913999,0.07069211736434501,-0.02604685013098013,0.7776442174263337
平均气温℃_21d,平均气温℃_21d,gray_incidence,灰斑病发病株率,119,-0.665662023378743,1.4685493132355089e-16,-0.6151798192560614,9.786304594157597e-14
平均气温℃_21d,平均气温℃_21d,gray_index,灰斑病病情指数,118,-0.7048443380163972,5.22046006185179e-19,-0.599984396651772,6.974174266390792e-13
平均气温℃_21d,平均气温℃_21d,blight_incidence,大斑病发病株率,121,0.09033863496712208,0.32441447854325506,-0.10070671237615725,0.27173668507236587
平均气温℃_21d,平均气温℃_21d,blight_index,大斑病病情指数,121,0.09119827145081966,0.3198126628931343,-0.08216373252556167,0.3702871271137206
平均气温℃_21d,平均气温℃_21d,white_incidence,白斑病发病株率,120,-0.4368211905636016,6.101935066655318e-07,-0.35076880349253536,8.572142435231887e-05
平均气温℃_21d,平均气温℃_21d,white_index,白斑病病情指数,120,-0.43856270346803433,5.439381785608488e-07,-0.3489624434213255,9.375510022488773e-05
平均气温℃_7d,平均气温℃_7d,gray_incidence,灰斑病发病株率,119,-0.6440598457121808,2.752457912882549e-15,-0.5991420082189017,6.101473090282899e-13
平均气温℃_7d,平均气温℃_7d,gray_index,灰斑病病情指数,118,-0.7051354887036202,4.977108718292097e-19,-0.6149704974663388,1.2772102222371032e-13
平均气温℃_7d,平均气温℃_7d,blight_incidence,大斑病发病株率,121,0.07667740006001401,0.40319542657288016,-0.08705967647829196,0.34235603451969226
平均气温℃_7d,平均气温℃_7d,blight_index,大斑病病情指数,121,0.07818146116420245,0.39400600103256483,-0.0698162752393282,0.44669495481910043
平均气温℃_7d,平均气温℃_7d,white_incidence,白斑病发病株率,120,-0.3962970585518587,7.441763137447708e-06,-0.315293396099252,0.0004521299319868509
平均气温℃_7d,平均气温℃_7d,white_index,白斑病病情指数,120,-0.4013910516174005,5.5309236567617335e-06,-0.3052665273039287,0.0006980909493659866
平均气温℃_14d,平均气温℃_14d,gray_incidence,灰斑病发病株率,119,-0.6542735408056912,7.092477025470105e-16,-0.6088575948357131,2.0383698195496692e-13
平均气温℃_14d,平均气温℃_14d,gray_index,灰斑病病情指数,118,-0.7026646423309726,7.449368694569433e-19,-0.6035355499760767,4.7018789125961e-13
平均气温℃_14d,平均气温℃_14d,blight_incidence,大斑病发病株率,121,0.08485195221373207,0.35478217343867763,-0.09170569107564937,0.31711622273188206
平均气温℃_14d,平均气温℃_14d,blight_index,大斑病病情指数,121,0.08669477748942808,0.3443906816344498,-0.07079083529859834,0.4403602702125266
平均气温℃_14d,平均气温℃_14d,white_incidence,白斑病发病株率,120,-0.40913299041500756,3.4899428509522425e-06,-0.3349891072983598,0.00018411892683517752
平均气温℃_14d,平均气温℃_14d,white_index,白斑病病情指数,120,-0.4114418764276375,3.0353260370346744e-06,-0.3296943060696022,0.00023582396250670633
平均气温℃_28d,平均气温℃_28d,gray_incidence,灰斑病发病株率,119,-0.6653296821838728,1.5391106700834333e-16,-0.6159067118315578,8.985098382803192e-14
平均气温℃_28d,平均气温℃_28d,gray_index,灰斑病病情指数,118,-0.6985570569598837,1.4432361303619856e-18,-0.5898664629179782,2.0890947980252673e-12
平均气温℃_28d,平均气温℃_28d,blight_incidence,大斑病发病株率,121,0.1065515807871119,0.2447418294691541,-0.10959368146834314,0.2314526425530507
平均气温℃_28d,平均气温℃_28d,blight_index,大斑病病情指数,121,0.10671366451691137,0.24402071573634573,-0.09426894725638632,0.3037207071199913
平均气温℃_28d,平均气温℃_28d,white_incidence,白斑病发病株率,120,-0.43536416424445973,6.714570155308533e-07,-0.3565962638912052,6.396821300878903e-05
