点位编号,原始日期,修正日期,日期偏移天数,原始点位名,品种
1,2025-05-22,2025-05-22,0,周公山镇余家村,同玉609
1,2025-05-29,2025-05-29,0,周公山镇余家村,同玉609
1,2025-06-12,2025-06-12,0,周公山镇余家村,同玉609
1,2025-06-19,2025-06-19,0,周公山镇余家村,同玉609
1,2025-06-26,2025-06-26,0,周公山镇余家村,同玉609
1,2025-07-03,2025-07-03,0,周公山镇余家村,同玉609
1,2025-07-10,2025-07-10,0,周公山镇余家村,同玉609
1,2025-07-17,2025-07-17,0,周公山镇余家村,同玉609
2,2025-05-21,2025-05-21,0,蒙顶山茶南部加工园,同玉609
2,2025-05-28,2025-05-28,0,蒙顶山茶南部加工园,同玉609
2,2025-06-05,2025-06-05,0,蒙顶山茶南部加工园,同玉609
2,2025-06-11,2025-06-11,0,蒙顶山茶南部加工园,同玉609
2,2025-06-18,2025-06-18,0,蒙顶山茶南部加工园,同玉609
2,2025-06-25,2025-06-25,0,蒙顶山茶南部加工园,同玉609
2,2025-07-02,2025-07-02,0,蒙顶山茶南部加工园,同玉609
2,2025-07-09,2025-07-09,0,蒙顶山茶南部加工园,同玉609
2,2025-07-16,2025-07-16,0,蒙顶山茶南部加工园,同玉609
3,2026-08-01,2025-08-01,-365,宝兴-1,翔玉168
3,2026-08-08,2025-08-08,-365,宝兴-1,翔玉168
3,2026-08-15,2025-08-15,-365,宝兴-1,翔玉168
3,2026-08-25,2025-08-25,-365,宝兴-1,翔玉168
3,2026-09-04,2025-09-04,-365,宝兴-1,翔玉168
3,2026-09-11,2025-09-11,-365,宝兴-1,翔玉168
3,2026-09-18,2025-09-18,-365,宝兴-1,翔玉168
3,2026-09-29,2025-09-29,-365,宝兴-1,翔玉168
3,2026-10-09,2025-10-09,-365,宝兴-1,翔玉168
3,2026-10-20,2025-10-20,-365,宝兴-1,翔玉168
3,2026-08-01,2025-08-01,-365,宝兴-2,白K888
3,2026-08-08,2025-08-08,-365,宝兴-2,白K888
3,2026-08-15,2025-08-15,-365,宝兴-2,白K888
3,2026-08-25,2025-08-25,-365,宝兴-2,白K888
3,2026-09-04,2025-09-04,-365,宝兴-2,白K888
3,2026-09-11,2025-09-11,-365,宝兴-2,白K888
3,2026-09-18,2025-09-18,-365,宝兴-2,白K888
3,2026-09-29,2025-09-29,-365,宝兴-2,白K888
3,2026-10-09,2025-10-09,-365,宝兴-2,白K888
3,2026-08-01,2025-08-01,-365,宝兴-2,内玉9018
3,2026-08-08,2025-08-08,-365,宝兴-2,内玉9018
3,2026-08-15,2025-08-15,-365,宝兴-2,内玉9018
3,2026-08-25,2025-08-25,-365,宝兴-2,内玉9018
3,2026-09-04,2025-09-04,-365,宝兴-2,内玉9018
3,2026-09-11,2025-09-11,-365,宝兴-2,内玉9018
3,2026-09-18,2025-09-18,-365,宝兴-2,内玉9018
3,2026-09-29,2025-09-29,-365,宝兴-2,内玉9018
3,2026-10-09,2025-10-09,-365,宝兴-2,内玉9018
3,2026-08-01,2025-08-01,-365,宝兴-2,郑单958
3,2026-08-08,2025-08-08,-365,宝兴-2,郑单958
3,2026-08-15,2025-08-15,-365,宝兴-2,郑单958
3,2026-08-25,2025-08-25,-365,宝兴-2,郑单958
3,2026-09-04,2025-09-04,-365,宝兴-2,郑单958
3,2026-09-11,2025-09-11,-365,宝兴-2,郑单958
3,2026-09-18,2025-09-18,-365,宝兴-2,郑单958
3,2026-09-29,2025-09-29,-365,宝兴-2,郑单958
3,2026-10-09,2025-10-09,-365,宝兴-2,郑单958
4,2025-06-22,2025-06-22,0,成都市新都区长龙路,同玉609
4,2025-06-30,2025-06-30,0,成都市新都区长龙路,同玉609
4,2025-07-07,2025-07-07,0,成都市新都区长龙路,同玉609
4,2025-07-14,2025-07-14,0,成都市新都区长龙路,同玉609
4,2025-07-21,2025-07-21,0,成都市新都区长龙路,同玉609
