feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.002384493127465248,10.0,0.08368244383934959,0.0684931506849315
rain_21d_sum,0.003687917022034526,14.0,0.12942537159192685,0.0958904109589041
rain_7d_sum,0.0001949117286130786,5.0,0.006840317380420804,0.03424657534246575
rain_14d_sum,0.0001339017617283389,8.0,0.00469920694119719,0.0547945205479452
rain_28d_sum,0.0009148269891738892,1.0,0.032105338137688115,0.00684931506849315
rain_gap_days,0.0,0.0,0.0,0.0
temp_range_24h_c,8.443095794063993e-06,4.0,0.00029630569343182386,0.0273972602739726
humidity_range_daily,0.0032253796234726906,8.0,0.11319288199784068,0.0547945205479452
soil_rel_humidity_7d_mean,0.0,0.0,0.0,0.0
soil_rel_humidity_14d_mean,0.000321825296850875,10.0,0.011294277605418618,0.0684931506849315
soil_rel_humidity_21d_mean,0.0,0.0,0.0,0.0
soil_rel_humidity_28d_mean,0.0,0.0,0.0,0.0
growth_stage_code,0.014589343219995499,16.0,0.5120047865091035,0.1095890410958904
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.0030335027258843184,70.0,0.10645907030362284,0.4794520547945205
heavy_rain_7d_count,0.0,0.0,0.0,0.0
