feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.00011781468492699787,72.0,0.00036721986042029264,0.2868525896414343
rain_21d_sum,0.0017782030627131462,6.0,0.00554253046547699,0.02390438247011952
rain_7d_sum,0.0,0.0,0.0,0.0
rain_14d_sum,0.00176610320340842,6.0,0.0055048160782786544,0.02390438247011952
rain_28d_sum,0.02449917234480381,24.0,0.07636215005324802,0.09561752988047809
rain_gap_days,0.0,0.0,0.0,0.0
temp_range_24h_c,0.12190756946802139,23.0,0.3799770858103392,0.09163346613545817
humidity_range_daily,4.859304681303911e-05,15.0,0.00015146101590933204,0.05976095617529881
soil_rel_humidity_7d_mean,0.13560104370117188,9.0,0.4226586555966713,0.035856573705179286
soil_rel_humidity_14d_mean,0.0012651592260226607,5.0,0.003943409895611606,0.0199203187250996
soil_rel_humidity_21d_mean,5.3292998927645385e-05,17.0,0.000166110427063614,0.06772908366533864
soil_rel_humidity_28d_mean,2.901609695982188e-05,2.0,9.04410777156503e-05,0.00796812749003984
growth_stage_code,0.0,0.0,0.0,0.0
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.033762771636247635,72.0,0.10523611971926533,0.2868525896414343
heavy_rain_7d_count,0.0,0.0,0.0,0.0
