feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.004282835870981216,166.0,0.020526392377400064,0.2614173228346457
rain_21d_sum,0.005452056881040335,68.0,0.026130130169685576,0.10708661417322834
rain_7d_sum,0.0067910621874034405,76.0,0.03254759493877862,0.11968503937007874
rain_14d_sum,0.006139662582427263,47.0,0.02942562522314694,0.07401574803149606
rain_28d_sum,0.011869329959154129,38.0,0.05688626212580259,0.05984251968503937
rain_gap_days,0.012183785438537598,14.0,0.058393356198396536,0.02204724409448819
temp_range_24h_c,0.007390917744487524,28.0,0.03542252895572261,0.04409448818897638
humidity_range_daily,0.007632443215698004,55.0,0.036580090613593685,0.08661417322834646
soil_rel_humidity_7d_mean,0.02315562218427658,30.0,0.1109781931915119,0.047244094488188976
soil_rel_humidity_14d_mean,0.026926031336188316,20.0,0.12904867266046935,0.031496062992125984
soil_rel_humidity_21d_mean,0.050175756216049194,19.0,0.2404778728276214,0.029921259842519685
soil_rel_humidity_28d_mean,0.03220584988594055,34.0,0.15435331437415248,0.05354330708661417
growth_stage_code,0.0017755349399521947,15.0,0.00850962492029666,0.023622047244094488
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.006582974456250668,17.0,0.03155029068822228,0.026771653543307086
heavy_rain_7d_count,0.00608633691444993,8.0,0.029170050735199324,0.012598425196850394
