feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.02340935729444027,79.0,0.06166139375516875,0.08559046587215602
rain_21d_sum,0.016056012362241745,38.0,0.042292323020810964,0.041170097508125676
rain_7d_sum,0.013928553089499474,37.0,0.03668849108879112,0.04008667388949079
rain_14d_sum,0.04564942792057991,52.0,0.12024282915181057,0.056338028169014086
rain_28d_sum,0.03353004530072212,34.0,0.08831978169718938,0.03683640303358613
rain_gap_days,0.003964461851865053,13.0,0.010442586705840681,0.014084507042253521
temp_range_24h_c,0.022547680884599686,63.0,0.059391695884850056,0.06825568797399784
humidity_range_daily,0.03180377930402756,44.0,0.0837727125056049,0.047670639219934995
soil_rel_humidity_7d_mean,0.032077595591545105,57.0,0.08449395801904785,0.06175514626218852
soil_rel_humidity_14d_mean,0.06113699451088905,43.0,0.16103783816563164,0.04658721560130011
soil_rel_humidity_21d_mean,0.013805351220071316,82.0,0.03636397133001983,0.08884073672806067
soil_rel_humidity_28d_mean,0.02800883911550045,91.0,0.0737766541645389,0.09859154929577464
growth_stage_code,0.024971120059490204,259.0,0.06577515337687252,0.28060671722643554
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.018172355368733406,30.0,0.04786687416302763,0.032502708559046585
heavy_rain_7d_count,0.010582087561488152,1.0,0.027873736970795215,0.0010834236186348862
