feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.014585255645215511,55.0,0.12735920871645706,0.1111111111111111
rain_21d_sum,0.009005528874695301,47.0,0.07863674517975529,0.09494949494949495
rain_7d_sum,0.006811209954321384,31.0,0.059475838564995505,0.06262626262626263
rain_14d_sum,0.009136410430073738,21.0,0.07977960970911614,0.04242424242424243
rain_28d_sum,0.0047142417170107365,30.0,0.04116500316355804,0.06060606060606061
rain_gap_days,0.0034502074122428894,9.0,0.03012739005881282,0.01818181818181818
temp_range_24h_c,0.02095869928598404,39.0,0.18301244912801523,0.07878787878787878
humidity_range_daily,0.010822050273418427,77.0,0.0944987042420759,0.15555555555555556
soil_rel_humidity_7d_mean,0.003950085956603289,27.0,0.03449235543293425,0.05454545454545454
soil_rel_humidity_14d_mean,0.003347729565575719,16.0,0.029232548186995604,0.03232323232323232
soil_rel_humidity_21d_mean,0.001476131728850305,15.0,0.012889658811657581,0.030303030303030304
soil_rel_humidity_28d_mean,0.0013676161179319024,28.0,0.011942094869267289,0.05656565656565657
growth_stage_code,0.016867835074663162,24.0,0.14729081067382674,0.048484848484848485
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.008027618750929832,76.0,0.07009758326253253,0.15353535353535352
heavy_rain_7d_count,0.0,0.0,0.0,0.0
