feature,mean_abs_spearman
relative_humidity_28d_min,0.4286773137219821
relative_humidity_21d_min,0.42694746344061413
relative_humidity_28d_mean,0.41479172535035097
temp_avg_c_21d_max,0.4126942034733527
relative_humidity_21d_mean,0.407239059887357
relative_humidity_28d_std,0.40263427643242333
temp_avg_c_28d_max,0.40135388012831125
temp_avg_c_28d_mean,0.400267550260376
gdd_28d_sum,0.400267550260376
temp_avg_c_21d_mean,0.39655870227144313
gdd_21d_sum,0.39655870227144313
temp_avg_c_14d_max,0.3946427698444914
日期,0.3918919930705603
temp_avg_c_14d_mean,0.3860953929151871
gdd_14d_sum,0.3860953929151871
relative_humidity_14d_mean,0.3815520890454584
temp_avg_c_21d_min,0.37262591549736596
gdd_7d_sum,0.3717145635996248
temp_avg_c_7d_mean,0.3717145635996248
temp_avg_c_14d_min,0.3702230763803196
