模型,特征,重要性
灰斑病_rate,地面气压最小值(Pa),0.20461698
灰斑病_rate,地面气压最大值(Pa),0.18119092
灰斑病_rate,地面气压平均值(Pa),0.098532625
灰斑病_rate,弱风日连续天数,0.07130479
灰斑病_rate,平均风速_7d,0.06700614
灰斑病_rate,过去7天平均风速_ms,0.054134145
灰斑病_rate,过去7天最高湿度_%,0.04108209
灰斑病_rate,土壤温度_C,0.027643073
灰斑病_rate,10m风速最大值(m/s),0.015217252
灰斑病_rate,降雨间歇长度天,0.014349637
灰斑病_rate,7天最大单日降雨_mm,0.012075251
灰斑病_rate,0-10cm土壤相对湿度(percent),0.01143171
灰斑病_rate,累计降水_14d,0.010574346
灰斑病_rate,平均土壤相对湿度_14d,0.010560156
灰斑病_rate,过去7天最高气温_C,0.009269976
灰斑病_index,地面气压最大值(Pa),0.17345895
灰斑病_index,过去7天平均风速_ms,0.1180252
灰斑病_index,弱风日连续天数,0.06473678
灰斑病_index,地面气压平均值(Pa),0.064708985
灰斑病_index,过去7天最低湿度_%,0.06338179
灰斑病_index,平均气温C_14d,0.055426475
灰斑病_index,地表温度平均_C,0.045631062
灰斑病_index,7天内高湿天数）,0.03170641
灰斑病_index,平均风速_7d,0.027924206
灰斑病_index,7天最大单日降雨_mm,0.02415855
灰斑病_index,平均土壤相对湿度_14d,0.02217198
灰斑病_index,土壤温度_C,0.021937476
灰斑病_index,平均土壤相对湿度_7d,0.018362107
灰斑病_index,0-10cm土壤相对湿度(percent),0.017938087
灰斑病_index,过去7天最高气温_C,0.017848605
大斑病_rate,过去7天平均湿度_%,0.4420319
大斑病_rate,土壤湿度(m3 m-3),0.21129613
大斑病_rate,平均相对湿度_14d,0.20379408
大斑病_rate,0-10cm土壤相对湿度(percent),0.07839661
大斑病_rate,平均相对湿度__7d,0.019516086
大斑病_rate,连续适宜温度天数,0.014430984
大斑病_rate,平均相对湿度_7d,0.011671251
大斑病_rate,连续适温天数,0.003919197
大斑病_rate,地表温度最低_C,0.0039082016
大斑病_rate,连续降雨天数,0.0036245054
大斑病_rate,相对湿度_最低_%,0.003512865
大斑病_rate,10m风速平均值(m/s),0.0006136886
大斑病_rate,2m比湿平均值(kg/kg),0.0005295724
大斑病_rate,气温最低_C,0.0004608436
大斑病_rate,相对湿度_平均_%,0.0003512884
大斑病_index,平均土壤相对湿度_14d,0.08136156
大斑病_index,过去7天平均风速_ms,0.06687467
大斑病_index,过去7天平均湿度_%,0.06686114
大斑病_index,平均相对湿度_14d,0.059116498
大斑病_index,土壤湿度(m3 m-3),0.0421741
大斑病_index,弱风日连续天数,0.040717185
大斑病_index,0-10cm土壤相对湿度(percent),0.035560712
大斑病_index,连续强降雨次数,0.030937156
大斑病_index,土壤温度_C,0.028522799
大斑病_index,累计降水_14d,0.026472468
大斑病_index,过去7天最低湿度_%,0.016084574
大斑病_index,平均风速_7d,0.015590107
大斑病_index,平均土壤相对湿度_7d,0.015384732
大斑病_index,地表温度最低_C,0.015210457
大斑病_index,气温平均_C,0.01434694
白斑病_rate,连续适宜温度天数,0.4146247
白斑病_rate,连续适温天数,0.10644157
白斑病_rate,平均气温C_14d,0.06645255
白斑病_rate,连续适温高湿天数,0.034352258
白斑病_rate,地面气压最大值(Pa),0.033745218
白斑病_rate,弱风日连续天数,0.021314085
白斑病_rate,7天内高湿天数）,0.021058846
白斑病_rate,过去7天最低气温_C,0.017988011
白斑病_rate,平均相对湿度_14d,0.017221278
白斑病_rate,过去7天最低湿度_%,0.017130518
白斑病_rate,过去7天最高气温_C,0.01569364
白斑病_rate,过去7天平均气温_C,0.011727785
白斑病_rate,平均气温C_7d,0.00979101
白斑病_rate,2m比湿最大值(kg/kg),0.009713998
白斑病_rate,过去7天最大单日降雨_mm,0.009290112
白斑病_index,连续适宜温度天数,0.33246228
白斑病_index,连续适温天数,0.08951134
白斑病_index,平均气温C_14d,0.06640794
白斑病_index,连续适温高湿天数,0.053011913
白斑病_index,过去7天平均湿度_%,0.03125959
白斑病_index,过去7天最低湿度_%,0.028571732
白斑病_index,平均土壤相对湿度_7d,0.028033337
白斑病_index,平均短波辐射7d,0.020384055
白斑病_index,过去7天最高气温_C,0.019772353
白斑病_index,过去7天平均气温_C,0.017677039
白斑病_index,弱风日连续天数,0.017328927
白斑病_index,是否降雨,0.016784083
白斑病_index,平均气温C_7d,0.013972729
白斑病_index,7天内高湿天数）,0.012868185
白斑病_index,过去7天最低气温_C,0.011512176
