feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.0027865199372172356,54.0,0.015765256423460588,0.18556701030927836
rain_21d_sum,0.0009062141180038452,16.0,0.005127075444203796,0.054982817869415807
rain_7d_sum,0.00013136313646100461,26.0,0.000743211452836747,0.08934707903780069
rain_14d_sum,0.005531362723559141,7.0,0.03129471659017341,0.024054982817869417
rain_28d_sum,0.03848621994256973,4.0,0.2177429696664011,0.013745704467353952
rain_gap_days,0.0,0.0,0.0,0.0
temp_range_24h_c,0.013483129441738129,14.0,0.07628332035262274,0.048109965635738834
humidity_range_daily,0.004067782778292894,21.0,0.02301423999096436,0.07216494845360824
soil_rel_humidity_7d_mean,0.04506811499595642,7.0,0.2549812689094969,0.024054982817869417
soil_rel_humidity_14d_mean,0.0017621575389057398,4.0,0.009969735040592115,0.013745704467353952
soil_rel_humidity_21d_mean,0.0005385056138038635,5.0,0.003046695978629596,0.01718213058419244
soil_rel_humidity_28d_mean,0.007398134097456932,1.0,0.04185632391994725,0.003436426116838488
growth_stage_code,0.045588985085487366,26.0,0.2579281886193077,0.08934707903780069
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.011002199724316597,106.0,0.06224699761136368,0.3642611683848797
heavy_rain_7d_count,0.0,0.0,0.0,0.0
