feature,gain,weight,gain_norm,weight_norm
gdd_cum,7.458456821041182e-05,34.0,3.961597750444393e-05,0.3333333333333333
rain_21d_sum,2.6443171009304933e-05,4.0,1.404542646000798e-05,0.0392156862745098
rain_7d_sum,0.0,0.0,0.0,0.0
rain_14d_sum,0.0,0.0,0.0,0.0
rain_28d_sum,0.9938802123069763,3.0,0.5279045931027954,0.029411764705882353
rain_gap_days,0.0,0.0,0.0,0.0
temp_range_24h_c,0.0,0.0,0.0,0.0
humidity_range_daily,0.0,0.0,0.0,0.0
soil_rel_humidity_7d_mean,0.8877121806144714,2.0,0.4715128963196768,0.0196078431372549
soil_rel_humidity_14d_mean,5.783110100310296e-05,2.0,3.071728711940614e-05,0.0196078431372549
soil_rel_humidity_21d_mean,8.05083618615754e-05,11.0,4.2762431008919725e-05,0.10784313725490197
soil_rel_humidity_28d_mean,0.0,0.0,0.0,0.0
growth_stage_code,0.0,0.0,0.0,0.0
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.0008573191007599235,46.0,0.00045536945543507226,0.45098039215686275
heavy_rain_7d_count,0.0,0.0,0.0,0.0
