feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.002881708089262247,215.0,0.019883805634126804,0.2494199535962877
rain_21d_sum,0.009693841449916363,72.0,0.06688757267136153,0.08352668213457076
rain_7d_sum,0.00865450780838728,71.0,0.05971616339705704,0.08236658932714618
rain_14d_sum,0.0065088896080851555,41.0,0.04491138305902681,0.04756380510440835
rain_28d_sum,0.01058509387075901,74.0,0.07303722050453851,0.08584686774941995
rain_gap_days,0.01359279453754425,2.0,0.093790375790056,0.002320185614849188
temp_range_24h_c,0.011148723773658276,69.0,0.0769262707107653,0.08004640371229699
humidity_range_daily,0.004979000426828861,101.0,0.034355137186933137,0.11716937354988399
soil_rel_humidity_7d_mean,0.030962208285927773,29.0,0.2136394501076448,0.033642691415313224
soil_rel_humidity_14d_mean,0.004670141730457544,29.0,0.03222401005787362,0.033642691415313224
soil_rel_humidity_21d_mean,0.026557913050055504,28.0,0.18324978269070147,0.03248259860788863
soil_rel_humidity_28d_mean,0.0020204856991767883,42.0,0.013941365219698342,0.048723897911832945
growth_stage_code,0.0011486861621960998,47.0,0.007925942418951146,0.054524361948955914
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.009721667505800724,29.0,0.06707957264833027,0.033642691415313224
heavy_rain_7d_count,0.001801729784347117,13.0,0.012431947902935227,0.015081206496519721
