feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.044211726635694504,75.0,0.11367139941186777,0.12057877813504823
rain_21d_sum,0.011389399878680706,40.0,0.02928293285939557,0.06430868167202572
rain_7d_sum,0.019902681931853294,36.0,0.05117116836184657,0.05787781350482315
rain_14d_sum,0.05298510566353798,28.0,0.13622836218066722,0.04501607717041801
rain_28d_sum,0.022326450794935226,17.0,0.057402845328178805,0.027331189710610933
rain_gap_days,0.0035032557789236307,12.0,0.00900711230233785,0.01929260450160772
temp_range_24h_c,0.02150580659508705,51.0,0.05529291247292901,0.0819935691318328
humidity_range_daily,0.053797584027051926,40.0,0.13831730010732876,0.06430868167202572
soil_rel_humidity_7d_mean,0.03133707121014595,35.0,0.08056977207152875,0.05627009646302251
soil_rel_humidity_14d_mean,0.016467614099383354,38.0,0.042339371974227026,0.06109324758842444
soil_rel_humidity_21d_mean,0.028802895918488503,40.0,0.07405423256022835,0.06430868167202572
soil_rel_humidity_28d_mean,0.021912014111876488,64.0,0.05633730002344363,0.10289389067524116
growth_stage_code,0.04223805293440819,115.0,0.10859694815923368,0.18488745980707397
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.016837840899825096,17.0,0.04329125062064963,0.027331189710610933
heavy_rain_7d_count,0.0017257769359275699,14.0,0.004437091566137395,0.022508038585209004
