feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.021416323259472847,61.0,0.13567239832401967,0.10627177700348432
rain_21d_sum,0.03467080742120743,38.0,0.21963954959378096,0.06620209059233449
rain_7d_sum,0.005908893421292305,61.0,0.03743283719595302,0.10627177700348432
rain_14d_sum,0.027221878990530968,28.0,0.17245059129829776,0.04878048780487805
rain_28d_sum,0.01334130298346281,20.0,0.08451714846679766,0.03484320557491289
rain_gap_days,0.0010455684969201684,33.0,0.006623675962980927,0.05749128919860627
temp_range_24h_c,0.03295287862420082,54.0,0.2087564714287794,0.09407665505226481
humidity_range_daily,0.009246557019650936,55.0,0.05857693460715539,0.09581881533101046
soil_rel_humidity_7d_mean,0.0013213345082476735,24.0,0.008370653522095914,0.041811846689895474
soil_rel_humidity_14d_mean,0.0008700425387360156,27.0,0.005511719095948103,0.047038327526132406
soil_rel_humidity_21d_mean,0.0010730348294600844,19.0,0.0067976751674058596,0.033101045296167246
soil_rel_humidity_28d_mean,0.0010117870988324285,48.0,0.006409670821119104,0.08362369337979095
growth_stage_code,0.0020690413657575846,42.0,0.013107376131884473,0.07317073170731707
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.0057037570513784885,64.0,0.03613329838378177,0.11149825783972125
heavy_rain_7d_count,0.0,0.0,0.0,0.0
