feature,gain,weight,gain_norm,weight_norm
gdd_cum,0.028094856068491936,178.0,0.03538123883792527,0.09086268504338949
rain_21d_sum,0.03284721076488495,147.0,0.04136611365435791,0.07503828483920368
rain_7d_sum,0.013434813357889652,118.0,0.01691912352210024,0.06023481368044921
rain_14d_sum,0.021695677191019058,145.0,0.02732243705305364,0.07401735579377233
rain_28d_sum,0.021478358656167984,78.0,0.027048757096597233,0.039816232771822356
rain_gap_days,0.010516311973333359,52.0,0.013243710689086764,0.026544155181214904
temp_range_24h_c,0.01643870770931244,106.0,0.020702075932765115,0.05410923940786115
humidity_range_daily,0.12280368059873581,176.0,0.1546527358192438,0.08984175599795814
soil_rel_humidity_7d_mean,0.031260907649993896,145.0,0.03936840385152147,0.07401735579377233
soil_rel_humidity_14d_mean,0.1860581785440445,96.0,0.23431224693828942,0.04900459418070444
soil_rel_humidity_21d_mean,0.0871168002486229,84.0,0.10971048610742375,0.042879019908116385
soil_rel_humidity_28d_mean,0.05157098546624184,98.0,0.06494588722718514,0.050025523226135786
growth_stage_code,0.021451503038406372,467.0,0.027014936491720414,0.23838693210821849
is_weak_wind_day,0.0,0.0,0.0,0.0
high_humidity_7d_count,0.14552870392799377,60.0,0.18327147926643378,0.030627871362940276
heavy_rain_7d_count,0.003764140186831355,9.0,0.004740367512296054,0.004594180704441042
