date,地点,灰斑病_发病概率(%),大斑病_发病概率(%),白斑病_发病概率(%),灰斑病_发病可能性(%),灰斑病_风险等级,大斑病_发病可能性(%),大斑病_风险等级,白斑病_发病可能性(%),白斑病_风险等级
2025-06-10,气象数据-天,85.87,0.0,15.62,85.87,高风险,0.0,低风险,15.62,中低风险
2025-06-11,气象数据-天,85.91,0.0,10.85,85.91,高风险,0.0,低风险,10.85,中低风险
2025-06-12,气象数据-天,82.98,0.0,21.99,82.98,高风险,0.0,低风险,21.99,中低风险
2025-06-13,气象数据-天,83.01,0.0,22.8,83.01,高风险,0.0,低风险,22.8,中低风险
2025-06-14,气象数据-天,86.4,0.0,16.98,86.4,高风险,0.0,低风险,16.98,中低风险
2025-06-15,气象数据-天,81.32,0.0,11.73,81.32,高风险,0.0,低风险,11.73,中低风险
2025-06-16,气象数据-天,81.39,0.0,6.82,81.39,高风险,0.0,低风险,6.82,低风险
2025-06-17,气象数据-天,84.17,0.0,7.2,84.17,高风险,0.0,低风险,7.2,低风险
2025-06-18,气象数据-天,84.15,0.0,3.76,84.15,高风险,0.0,低风险,3.76,低风险
2025-06-19,气象数据-天,87.09,0.0,9.09,87.09,高风险,0.0,低风险,9.09,低风险
2025-06-20,气象数据-天,90.25,0.0,6.72,90.25,高风险,0.0,低风险,6.72,低风险
2025-06-21,气象数据-天,91.34,0.09,4.67,91.34,高风险,0.09,低风险,4.67,低风险
2025-06-22,气象数据-天,88.26,0.0,5.13,88.26,高风险,0.0,低风险,5.13,低风险
2025-06-23,气象数据-天,92.2,0.0,3.54,92.2,高风险,0.0,低风险,3.54,低风险
2025-06-24,气象数据-天,93.09,0.0,4.63,93.09,高风险,0.0,低风险,4.63,低风险
2025-06-25,气象数据-天,88.66,0.0,7.53,88.66,高风险,0.0,低风险,7.53,低风险
2025-06-26,气象数据-天,88.47,0.0,9.63,88.47,高风险,0.0,低风险,9.63,低风险
2025-06-27,气象数据-天,89.52,0.0,0.0,89.52,高风险,0.0,低风险,0.0,低风险
2025-06-28,气象数据-天,90.03,0.0,2.44,90.03,高风险,0.0,低风险,2.44,低风险
2025-06-29,气象数据-天,87.5,0.0,0.0,87.5,高风险,0.0,低风险,0.0,低风险
2025-06-30,气象数据-天,93.06,0.0,2.99,93.06,高风险,0.0,低风险,2.99,低风险
2025-07-01,气象数据-天,91.14,0.0,5.29,91.14,高风险,0.0,低风险,5.29,低风险
2025-07-02,气象数据-天,93.61,0.0,3.03,93.61,高风险,0.0,低风险,3.03,低风险
2025-07-03,气象数据-天,93.79,0.02,6.8,93.79,高风险,0.02,低风险,6.8,低风险
2025-07-04,气象数据-天,95.3,0.01,7.08,95.3,高风险,0.01,低风险,7.08,低风险
2025-07-05,气象数据-天,92.72,0.01,5.61,92.72,高风险,0.01,低风险,5.61,低风险
2025-07-06,气象数据-天,91.72,0.05,0.0,91.72,高风险,0.05,低风险,0.0,低风险
2025-07-07,气象数据-天,85.55,0.02,0.0,85.55,高风险,0.02,低风险,0.0,低风险
2025-07-08,气象数据-天,89.02,0.0,0.0,89.02,高风险,0.0,低风险,0.0,低风险
2025-07-09,气象数据-天,85.02,0.0,2.56,85.02,高风险,0.0,低风险,2.56,低风险
2025-07-10,气象数据-天,50.04,0.0,3.79,50.04,中高风险,0.0,低风险,3.79,低风险
2025-07-11,气象数据-天,85.1,0.01,1.24,85.1,高风险,0.01,低风险,1.24,低风险
2025-07-12,气象数据-天,85.42,0.0,4.18,85.42,高风险,0.0,低风险,4.18,低风险
2025-07-13,气象数据-天,85.17,0.0,0.0,85.17,高风险,0.0,低风险,0.0,低风险
