fold,date,group,actual,pred
3,2025-06-22,5.四川新都红花堰__未知品种,0.0,0.0043428433
3,2025-06-30,5.四川新都红花堰__未知品种,0.0,0.0043428433
3,2025-07-07,5.四川新都红花堰__未知品种,0.0,0.012379345
3,2025-07-14,5.四川新都红花堰__未知品种,0.0,0.012236655
3,2025-07-21,5.四川新都红花堰__未知品种,0.0,0.0043428433
3,2025-07-28,5.四川新都红花堰__未知品种,0.0033333,0.0043428433
3,2025-08-04,5.四川新都红花堰__未知品种,0.0066666,0.0043428433
3,2025-08-11,5.四川新都红花堰__未知品种,0.0099999,0.0043428433
3,2025-08-18,5.四川新都红花堰__未知品种,0.0133332,0.010888573
3,2025-08-25,5.四川新都红花堰__未知品种,0.0166665,0.010888573
