fold,date,group,actual,pred
1,2025-07-31,9.云南德宏农科所__垦丰680,0.0077777777777777776,0.016985971
1,2025-08-01,9.云南德宏农科所__垦丰680,0.008888888888888889,0.038331017
1,2025-08-02,9.云南德宏农科所__垦丰680,0.01,0.04561045
1,2025-08-03,9.云南德宏农科所__垦丰680,0.011111111111111112,0.04863052
1,2025-08-04,9.云南德宏农科所__垦丰680,0.012222222222222223,0.04863052
1,2025-08-05,9.云南德宏农科所__垦丰680,0.013333333333333338,0.11655798
1,2025-08-06,9.云南德宏农科所__垦丰680,0.014444444444444447,0.114192046
1,2025-08-07,9.云南德宏农科所__垦丰680,0.015833333333333338,0.11637651
1,2025-08-08,9.云南德宏农科所__垦丰680,0.017222222222222222,0.124181695
1,2025-08-09,9.云南德宏农科所__垦丰680,0.018611111111111116,0.1261124
1,2025-08-10,9.云南德宏农科所__垦丰680,0.02,0.1226873
1,2025-08-11,9.云南德宏农科所__垦丰680,0.02138888888888889,0.12204928
1,2025-08-12,9.云南德宏农科所__垦丰680,0.022777777777777782,0.12321307
1,2025-08-13,9.云南德宏农科所__垦丰680,0.02416666666666667,0.11639534
1,2025-08-14,9.云南德宏农科所__垦丰680,0.025555555555555557,0.11555203
1,2025-08-15,9.云南德宏农科所__垦丰680,0.028333333333333332,0.11555203
1,2025-08-16,9.云南德宏农科所__垦丰680,0.03111111111111111,0.11983152
1,2025-08-17,9.云南德宏农科所__垦丰680,0.03388888888888889,0.109407336
1,2025-08-18,9.云南德宏农科所__垦丰680,0.03666666666666667,0.109407336
1,2025-08-19,9.云南德宏农科所__垦丰680,0.03944444444444445,0.109608494
1,2025-08-20,9.云南德宏农科所__垦丰680,0.042222222222222223,0.11184508
1,2025-08-21,9.云南德宏农科所__垦丰680,0.04296296296296296,0.109411165
1,2025-08-22,9.云南德宏农科所__垦丰680,0.0437037037037037,0.113485664
1,2025-08-23,9.云南德宏农科所__垦丰680,0.044444444444444446,0.107174575
1,2025-08-24,9.云南德宏农科所__垦丰680,0.04518518518518518,0.108557746
1,2025-08-25,9.云南德宏农科所__垦丰680,0.04592592592592592,0.0596088
1,2025-08-26,9.云南德宏农科所__垦丰680,0.04666666666666666,0.010895159
