fold,date,group,actual,pred
2,2025-06-22,成都市新都区红花堰__未知品种,0.0,0.0069397604
2,2025-06-30,成都市新都区红花堰__未知品种,0.0,0.0069397604
2,2025-07-07,成都市新都区红花堰__未知品种,0.0,0.008328011
2,2025-07-14,成都市新都区红花堰__未知品种,0.0,0.008328011
2,2025-07-21,成都市新都区红花堰__未知品种,0.0,0.0069397604
2,2025-07-28,成都市新都区红花堰__未知品种,0.0033333,0.0069397604
2,2025-08-04,成都市新都区红花堰__未知品种,0.0066666,0.0069397604
2,2025-08-11,成都市新都区红花堰__未知品种,0.0099999,0.0069397604
2,2025-08-18,成都市新都区红花堰__未知品种,0.0133332,0.017000392
2,2025-08-25,成都市新都区红花堰__未知品种,0.0166665,0.017034806
