fold,date,group,actual,pred
2,2025-08-05,11.云南德宏勐嘎__未知品种,1.0,0.5320359
2,2025-08-05,11.云南德宏勐嘎__未知品种,1.0,0.5417344
2,2025-08-13,11.云南德宏勐嘎__未知品种,1.0,0.5472865
2,2025-08-13,11.云南德宏勐嘎__未知品种,1.0,0.5472865
2,2025-08-19,11.云南德宏勐嘎__未知品种,1.0,0.45257872
2,2025-08-19,11.云南德宏勐嘎__未知品种,1.0,0.45257872
2,2025-08-26,11.云南德宏勐嘎__未知品种,1.0,0.5329618
2,2025-08-26,11.云南德宏勐嘎__未知品种,1.0,0.5329618
2,2025-09-01,11.云南德宏勐嘎__未知品种,1.0,0.54601383
2,2025-09-01,11.云南德宏勐嘎__未知品种,1.0,0.54601383
2,2025-09-17,11.云南德宏勐嘎__未知品种,1.0,0.5418105
