fold,date,group,actual,pred
1,2025-07-31,9.云南德宏农科所__垦丰680,0.07,0.040797323
1,2025-08-01,9.云南德宏农科所__垦丰680,0.08,0.06885968
1,2025-08-02,9.云南德宏农科所__垦丰680,0.09,0.11113383
1,2025-08-03,9.云南德宏农科所__垦丰680,0.1,0.12719049
1,2025-08-04,9.云南德宏农科所__垦丰680,0.11,0.12803726
1,2025-08-05,9.云南德宏农科所__垦丰680,0.12,0.46607202
1,2025-08-06,9.云南德宏农科所__垦丰680,0.13,0.451388
1,2025-08-07,9.云南德宏农科所__垦丰680,0.13,0.45133457
1,2025-08-08,9.云南德宏农科所__垦丰680,0.13,0.47022545
1,2025-08-09,9.云南德宏农科所__垦丰680,0.13,0.4723266
1,2025-08-10,9.云南德宏农科所__垦丰680,0.13,0.46344465
1,2025-08-11,9.云南德宏农科所__垦丰680,0.13,0.45464072
1,2025-08-12,9.云南德宏农科所__垦丰680,0.13,0.4692661
1,2025-08-13,9.云南德宏农科所__垦丰680,0.13,0.44987148
1,2025-08-14,9.云南德宏农科所__垦丰680,0.13,0.45117468
1,2025-08-15,9.云南德宏农科所__垦丰680,0.145,0.45153132
1,2025-08-16,9.云南德宏农科所__垦丰680,0.16,0.45204154
1,2025-08-17,9.云南德宏农科所__垦丰680,0.175,0.43065405
1,2025-08-18,9.云南德宏农科所__垦丰680,0.19,0.43311122
1,2025-08-19,9.云南德宏农科所__垦丰680,0.205,0.4323536
1,2025-08-20,9.云南德宏农科所__垦丰680,0.22,0.43348196
1,2025-08-21,9.云南德宏农科所__垦丰680,0.22,0.44222468
1,2025-08-22,9.云南德宏农科所__垦丰680,0.22,0.4345
1,2025-08-23,9.云南德宏农科所__垦丰680,0.22,0.438608
1,2025-08-24,9.云南德宏农科所__垦丰680,0.22,0.44008535
1,2025-08-25,9.云南德宏农科所__垦丰680,0.22,0.4548563
1,2025-08-26,9.云南德宏农科所__垦丰680,0.22,0.030120818
