fold,date,group,actual,pred
5,2025-05-22,1.四川雅安周公山__同玉609,0.0,0.008266225
5,2025-05-23,1.四川雅安周公山__同玉609,0.0,0.009214411
5,2025-05-24,1.四川雅安周公山__同玉609,0.0,0.013578298
5,2025-05-25,1.四川雅安周公山__同玉609,0.0,0.009498143
5,2025-05-26,1.四川雅安周公山__同玉609,0.0,0.008575173
5,2025-05-27,1.四川雅安周公山__同玉609,0.0,0.011042929
5,2025-05-28,1.四川雅安周公山__同玉609,0.0,0.008833722
5,2025-05-29,1.四川雅安周公山__同玉609,0.0,0.008441334
5,2025-05-30,1.四川雅安周公山__同玉609,0.0,0.018802505
5,2025-05-31,1.四川雅安周公山__同玉609,0.0,0.008047559
5,2025-06-01,1.四川雅安周公山__同玉609,0.0,0.0074159326
5,2025-06-02,1.四川雅安周公山__同玉609,0.0,0.008119334
5,2025-06-03,1.四川雅安周公山__同玉609,0.0,0.012082934
5,2025-06-04,1.四川雅安周公山__同玉609,0.0,0.010267517
5,2025-06-05,1.四川雅安周公山__同玉609,0.0,0.010183723
5,2025-06-06,1.四川雅安周公山__同玉609,0.0,0.0064470735
5,2025-06-07,1.四川雅安周公山__同玉609,0.0,0.005575682
5,2025-06-08,1.四川雅安周公山__同玉609,0.0,0.0076392754
5,2025-06-09,1.四川雅安周公山__同玉609,0.0,0.004142603
5,2025-06-10,1.四川雅安周公山__同玉609,0.0,0.008259362
5,2025-06-11,1.四川雅安周公山__同玉609,0.0,0.004327968
5,2025-06-12,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-13,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-14,1.四川雅安周公山__同玉609,0.0,0.0036976482
5,2025-06-15,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-16,1.四川雅安周公山__同玉609,0.0,0.003493825
5,2025-06-17,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-18,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-19,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-20,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-21,1.四川雅安周公山__同玉609,0.0,0.0007591348
5,2025-06-22,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-23,1.四川雅安周公山__同玉609,0.0,0.007274398
5,2025-06-24,1.四川雅安周公山__同玉609,0.0,0.0138534205
5,2025-06-25,1.四川雅安周公山__同玉609,0.0,0.02014125
5,2025-06-26,1.四川雅安周公山__同玉609,0.0,0.0049820584
5,2025-06-27,1.四川雅安周公山__同玉609,0.0,0.0056599663
5,2025-06-28,1.四川雅安周公山__同玉609,0.0,0.0017335224
5,2025-06-29,1.四川雅安周公山__同玉609,0.0,0.0004379165
5,2025-06-30,1.四川雅安周公山__同玉609,0.0,4.785561e-06
5,2025-07-01,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-02,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-03,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-04,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-05,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-06,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-07,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-08,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-09,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-10,1.四川雅安周公山__同玉609,0.0,0.0015525036
5,2025-07-11,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-12,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-13,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-14,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-15,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-16,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-17,1.四川雅安周公山__同玉609,0.0,0.0014933861
