fold,date,group,actual,pred
2,2025-06-22,5.四川新都红花堰__同玉609,0.0,0.00046678752
2,2025-06-23,5.四川新都红花堰__同玉609,0.0,0.00067899853
2,2025-06-24,5.四川新都红花堰__同玉609,0.0,0.002614116
2,2025-06-25,5.四川新都红花堰__同玉609,0.0,0.0022858959
2,2025-06-26,5.四川新都红花堰__同玉609,0.0,0.00047554265
2,2025-06-27,5.四川新都红花堰__同玉609,0.0,6.39847e-06
2,2025-06-28,5.四川新都红花堰__同玉609,0.0,6.39847e-06
2,2025-06-29,5.四川新都红花堰__同玉609,0.0,0.0017880045
2,2025-06-30,5.四川新都红花堰__同玉609,0.0,1.8435889e-05
2,2025-07-01,5.四川新都红花堰__同玉609,0.0,0.00045788704
2,2025-07-02,5.四川新都红花堰__同玉609,0.0,6.39847e-06
2,2025-07-03,5.四川新都红花堰__同玉609,0.0,0.0018167516
2,2025-07-04,5.四川新都红花堰__同玉609,0.0,2.178539e-05
2,2025-07-05,5.四川新都红花堰__同玉609,0.0,4.1298263e-06
2,2025-07-06,5.四川新都红花堰__同玉609,0.0,0.0020465173
2,2025-07-07,5.四川新都红花堰__同玉609,0.0,0.00014790629
2,2025-07-08,5.四川新都红花堰__同玉609,0.0,0.0
2,2025-07-09,5.四川新都红花堰__同玉609,0.0,2.178539e-05
2,2025-07-10,5.四川新都红花堰__同玉609,0.0,0.0017745986
2,2025-07-11,5.四川新都红花堰__同玉609,0.0,0.00017665353
2,2025-07-12,5.四川新都红花堰__同玉609,0.0,2.178539e-05
2,2025-07-13,5.四川新都红花堰__同玉609,0.0,0.0
2,2025-07-14,5.四川新都红花堰__同玉609,0.0,0.0
2,2025-07-15,5.四川新都红花堰__同玉609,0.0,4.746919e-05
2,2025-07-16,5.四川新都红花堰__同玉609,0.0,0.00042789234
2,2025-07-17,5.四川新都红花堰__同玉609,0.0,0.00040170163
2,2025-07-18,5.四川新都红花堰__同玉609,0.0,0.00041370493
2,2025-07-19,5.四川新都红花堰__同玉609,0.0,0.00038401186
2,2025-07-20,5.四川新都红花堰__同玉609,0.0,0.00056548987
2,2025-07-21,5.四川新都红花堰__同玉609,0.0,0.0005831455
2,2025-07-22,5.四川新都红花堰__同玉609,0.0,0.01162591
2,2025-07-23,5.四川新都红花堰__同玉609,0.0,0.009186026
2,2025-07-24,5.四川新都红花堰__同玉609,0.0,0.009181733
2,2025-07-25,5.四川新都红花堰__同玉609,0.0,0.008699227
2,2025-07-26,5.四川新都红花堰__同玉609,0.0,0.008699227
2,2025-07-27,5.四川新都红花堰__同玉609,0.0,0.0005831455
2,2025-07-28,5.四川新都红花堰__同玉609,0.0,9.634608e-05
2,2025-07-29,5.四川新都红花堰__同玉609,0.0,9.634608e-05
2,2025-07-30,5.四川新都红花堰__同玉609,0.0,0.0005831455
2,2025-07-31,5.四川新都红花堰__同玉609,0.0,0.00056548987
2,2025-08-01,5.四川新都红花堰__同玉609,0.0,0.00067190063
2,2025-08-02,5.四川新都红花堰__同玉609,0.0,0.0004824392
2,2025-08-03,5.四川新都红花堰__同玉609,0.0,0.00053228065
2,2025-08-04,5.四川新都红花堰__同玉609,0.0,0.00050585903
2,2025-08-05,5.四川新都红花堰__同玉609,0.0,0.00050585903
2,2025-08-06,5.四川新都红花堰__同玉609,0.0,0.0022959593
2,2025-08-07,5.四川新都红花堰__同玉609,0.0,0.0005153829
2,2025-08-08,5.四川新都红花堰__同玉609,0.0,0.00039944838
2,2025-08-09,5.四川新都红花堰__同玉609,0.0,0.0026199792
2,2025-08-10,5.四川新都红花堰__同玉609,0.0,0.0023012827
2,2025-08-11,5.四川新都红花堰__同玉609,0.0,0.0
2,2025-08-12,5.四川新都红花堰__同玉609,0.0,0.0035396854
2,2025-08-13,5.四川新都红花堰__同玉609,0.0,0.0035396854
2,2025-08-14,5.四川新都红花堰__同玉609,0.0,0.0035795697
2,2025-08-15,5.四川新都红花堰__同玉609,0.0,0.0041726506
2,2025-08-16,5.四川新都红花堰__同玉609,0.0,0.0035795697
2,2025-08-17,5.四川新都红花堰__同玉609,0.0,0.0035619142
2,2025-08-18,5.四川新都红花堰__同玉609,0.0,0.005564416
2,2025-08-19,5.四川新都红花堰__同玉609,0.0,0.0035396854
2,2025-08-20,5.四川新都红花堰__同玉609,0.0,0.0035220298
2,2025-08-21,5.四川新都红花堰__同玉609,0.0,0.0035396854
2,2025-08-22,5.四川新都红花堰__同玉609,0.0,0.0035220298
2,2025-08-23,5.四川新都红花堰__同玉609,0.0,0.0035619142
2,2025-08-24,5.四川新都红花堰__同玉609,0.0,0.004340779
2,2025-08-25,5.四川新都红花堰__同玉609,0.0,0.004700186
2,2025-08-26,5.四川新都红花堰__同玉609,0.0,0.003773517
2,2025-08-27,5.四川新都红花堰__同玉609,0.0,0.003755861
2,2025-08-28,5.四川新都红花堰__同玉609,0.0,0.0038032164
2,2025-08-29,5.四川新都红花堰__同玉609,0.0,0.004652639
2,2025-08-30,5.四川新都红花堰__同玉609,0.0,0.004790528
2,2025-08-31,5.四川新都红花堰__同玉609,0.0,0.011613201
2,2025-09-01,5.四川新都红花堰__同玉609,0.0,0.011599839
