fold,date,group,actual,pred
5,2025-05-22,1.四川雅安周公山__同玉609,0.0,0.05486483
5,2025-05-23,1.四川雅安周公山__同玉609,0.0,0.06408961
5,2025-05-24,1.四川雅安周公山__同玉609,0.0,0.083774164
5,2025-05-25,1.四川雅安周公山__同玉609,0.0,0.06856829
5,2025-05-26,1.四川雅安周公山__同玉609,0.0,0.05905713
5,2025-05-27,1.四川雅安周公山__同玉609,0.0,0.06646805
5,2025-05-28,1.四川雅安周公山__同玉609,0.0,0.06032839
5,2025-05-29,1.四川雅安周公山__同玉609,0.0,0.03681846
5,2025-05-30,1.四川雅安周公山__同玉609,0.0,0.041735128
5,2025-05-31,1.四川雅安周公山__同玉609,0.0,0.030621914
5,2025-06-01,1.四川雅安周公山__同玉609,0.0,0.043300018
5,2025-06-02,1.四川雅安周公山__同玉609,0.0,0.062494744
5,2025-06-03,1.四川雅安周公山__同玉609,0.0,0.098858334
5,2025-06-04,1.四川雅安周公山__同玉609,0.0,0.09773573
5,2025-06-05,1.四川雅安周公山__同玉609,0.0,0.095323205
5,2025-06-06,1.四川雅安周公山__同玉609,0.0,0.079055384
5,2025-06-07,1.四川雅安周公山__同玉609,0.0,0.08466511
5,2025-06-08,1.四川雅安周公山__同玉609,0.0,0.09348561
5,2025-06-09,1.四川雅安周公山__同玉609,0.0,0.07109929
5,2025-06-10,1.四川雅安周公山__同玉609,0.0,0.104178876
5,2025-06-11,1.四川雅安周公山__同玉609,0.0,0.09599591
5,2025-06-12,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-13,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-14,1.四川雅安周公山__同玉609,0.0,0.017807594
5,2025-06-15,1.四川雅安周公山__同玉609,0.0,0.009170744
5,2025-06-16,1.四川雅安周公山__同玉609,0.0,0.045735277
5,2025-06-17,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-18,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-19,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-20,1.四川雅安周公山__同玉609,0.0,0.007315074
5,2025-06-21,1.四川雅安周公山__同玉609,0.0,0.0093250815
5,2025-06-22,1.四川雅安周公山__同玉609,0.0,0.0012656264
5,2025-06-23,1.四川雅安周公山__同玉609,0.0,0.015879488
5,2025-06-24,1.四川雅安周公山__同玉609,0.0,0.019273654
5,2025-06-25,1.四川雅安周公山__同玉609,0.0,0.011817638
5,2025-06-26,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-27,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-28,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-29,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-06-30,1.四川雅安周公山__同玉609,0.0,0.017219901
5,2025-07-01,1.四川雅安周公山__同玉609,0.0,0.0006775216
5,2025-07-02,1.四川雅安周公山__同玉609,0.0,0.0071818684
5,2025-07-03,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-04,1.四川雅安周公山__同玉609,0.0,0.01436963
5,2025-07-05,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-06,1.四川雅安周公山__同玉609,0.0,0.0011391345
5,2025-07-07,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-08,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-09,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-10,1.四川雅安周公山__同玉609,0.0,0.012274275
5,2025-07-11,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-12,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-13,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-14,1.四川雅安周公山__同玉609,0.0,0.0
5,2025-07-15,1.四川雅安周公山__同玉609,0.0,0.006543171
5,2025-07-16,1.四川雅安周公山__同玉609,0.0,0.017870555
5,2025-07-17,1.四川雅安周公山__同玉609,0.0,0.01858522
