fold,date,group,actual,pred
4,2025-05-21,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-05-22,2.四川雅安蒙顶山加工园__同玉609,0.0,0.07102032
4,2025-05-23,2.四川雅安蒙顶山加工园__同玉609,0.0,0.00904015
4,2025-05-24,2.四川雅安蒙顶山加工园__同玉609,0.0,0.031262994
4,2025-05-25,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-05-26,2.四川雅安蒙顶山加工园__同玉609,0.0,0.06716959
4,2025-05-27,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-05-28,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-05-29,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0068565374
4,2025-05-30,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0025302167
4,2025-05-31,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-01,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-02,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-03,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-04,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-05,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-06,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-07,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-08,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-09,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-10,2.四川雅安蒙顶山加工园__同玉609,0.0,0.017211555
4,2025-06-11,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0025631161
4,2025-06-12,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-13,2.四川雅安蒙顶山加工园__同玉609,0.0,0.097029515
4,2025-06-14,2.四川雅安蒙顶山加工园__同玉609,0.0,0.10633491
4,2025-06-15,2.四川雅安蒙顶山加工园__同玉609,0.0,0.09809208
4,2025-06-16,2.四川雅安蒙顶山加工园__同玉609,0.0,0.10306134
4,2025-06-17,2.四川雅安蒙顶山加工园__同玉609,0.0,0.10757586
4,2025-06-18,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-19,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-20,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-21,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-22,2.四川雅安蒙顶山加工园__同玉609,0.0,0.035398737
4,2025-06-23,2.四川雅安蒙顶山加工园__同玉609,0.0,0.037741568
4,2025-06-24,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-25,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-26,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-27,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-28,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-06-29,2.四川雅安蒙顶山加工园__同玉609,0.0,0.010736625
4,2025-06-30,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0030584484
4,2025-07-01,2.四川雅安蒙顶山加工园__同玉609,0.0,0.009627631
4,2025-07-02,2.四川雅安蒙顶山加工园__同玉609,0.0,0.006188027
4,2025-07-03,2.四川雅安蒙顶山加工园__同玉609,0.0,0.014413565
4,2025-07-04,2.四川雅安蒙顶山加工园__同玉609,0.0,0.020008892
4,2025-07-05,2.四川雅安蒙顶山加工园__同玉609,0.0,0.018720215
4,2025-07-06,2.四川雅安蒙顶山加工园__同玉609,0.0,0.03928069
4,2025-07-07,2.四川雅安蒙顶山加工园__同玉609,0.0,0.027224425
4,2025-07-08,2.四川雅安蒙顶山加工园__同玉609,0.0,0.008919503
4,2025-07-09,2.四川雅安蒙顶山加工园__同玉609,0.0,0.00899845
4,2025-07-10,2.四川雅安蒙顶山加工园__同玉609,0.0,0.009490326
4,2025-07-11,2.四川雅安蒙顶山加工园__同玉609,0.0,0.008843546
4,2025-07-12,2.四川雅安蒙顶山加工园__同玉609,0.0,0.016532669
4,2025-07-13,2.四川雅安蒙顶山加工园__同玉609,0.0,0.0
4,2025-07-14,2.四川雅安蒙顶山加工园__同玉609,0.0,0.021242023
4,2025-07-15,2.四川雅安蒙顶山加工园__同玉609,0.0,0.19136429
4,2025-07-16,2.四川雅安蒙顶山加工园__同玉609,0.0,0.19364092
