fold,date,group,actual,pred
3,2025-08-01,3.四川雅安宝兴__内玉9018,0.0,0.06309669
3,2025-08-02,3.四川雅安宝兴__内玉9018,0.0,0.0719979
3,2025-08-03,3.四川雅安宝兴__内玉9018,0.0,0.030533748
3,2025-08-04,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-05,3.四川雅安宝兴__内玉9018,0.0,0.006927796
3,2025-08-06,3.四川雅安宝兴__内玉9018,0.0,0.00646632
3,2025-08-07,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-08,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-09,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-10,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-11,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-12,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-13,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-14,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-15,3.四川雅安宝兴__内玉9018,0.0,0.0
3,2025-08-16,3.四川雅安宝兴__内玉9018,0.01,0.0
3,2025-08-17,3.四川雅安宝兴__内玉9018,0.02,0.0011329417
3,2025-08-18,3.四川雅安宝兴__内玉9018,0.03,0.031465508
3,2025-08-19,3.四川雅安宝兴__内玉9018,0.04,0.013243868
3,2025-08-20,3.四川雅安宝兴__内玉9018,0.05,0.010424067
3,2025-08-21,3.四川雅安宝兴__内玉9018,0.06,0.014785777
3,2025-08-22,3.四川雅安宝兴__内玉9018,0.07,0.009115958
3,2025-08-23,3.四川雅安宝兴__内玉9018,0.08,0.014396193
3,2025-08-24,3.四川雅安宝兴__内玉9018,0.09,0.0
3,2025-08-25,3.四川雅安宝兴__内玉9018,0.1,0.0
3,2025-08-26,3.四川雅安宝兴__内玉9018,0.14,0.01076945
3,2025-08-27,3.四川雅安宝兴__内玉9018,0.18,0.051198166
3,2025-08-28,3.四川雅安宝兴__内玉9018,0.22,0.07646992
3,2025-08-29,3.四川雅安宝兴__内玉9018,0.26,0.17009185
3,2025-08-30,3.四川雅安宝兴__内玉9018,0.3,0.23977976
3,2025-08-31,3.四川雅安宝兴__内玉9018,0.34,0.31297383
3,2025-09-01,3.四川雅安宝兴__内玉9018,0.38,0.32585746
3,2025-09-02,3.四川雅安宝兴__内玉9018,0.42,0.39543346
3,2025-09-03,3.四川雅安宝兴__内玉9018,0.46,0.44275084
3,2025-09-04,3.四川雅安宝兴__内玉9018,0.5,0.44345158
3,2025-09-05,3.四川雅安宝兴__内玉9018,0.5285714285714285,0.5010092
3,2025-09-06,3.四川雅安宝兴__内玉9018,0.5571428571428573,0.5351684
3,2025-09-07,3.四川雅安宝兴__内玉9018,0.5857142857142857,0.5830053
3,2025-09-08,3.四川雅安宝兴__内玉9018,0.6142857142857143,0.61321896
3,2025-09-09,3.四川雅安宝兴__内玉9018,0.6428571428571429,0.6244671
3,2025-09-10,3.四川雅安宝兴__内玉9018,0.6714285714285714,0.66417104
3,2025-09-11,3.四川雅安宝兴__内玉9018,0.7,0.70822066
3,2025-09-12,3.四川雅安宝兴__内玉9018,0.7285714285714286,0.71953785
3,2025-09-13,3.四川雅安宝兴__内玉9018,0.7571428571428571,0.72859466
3,2025-09-14,3.四川雅安宝兴__内玉9018,0.7857142857142857,0.76740396
3,2025-09-15,3.四川雅安宝兴__内玉9018,0.8142857142857143,0.8276741
3,2025-09-16,3.四川雅安宝兴__内玉9018,0.842857142857143,0.85582185
3,2025-09-17,3.四川雅安宝兴__内玉9018,0.8714285714285714,0.87576824
3,2025-09-18,3.四川雅安宝兴__内玉9018,0.9,0.9189217
3,2025-09-19,3.四川雅安宝兴__内玉9018,0.9,0.939169
3,2025-09-20,3.四川雅安宝兴__内玉9018,0.9,0.9403508
3,2025-09-21,3.四川雅安宝兴__内玉9018,0.9,0.9404565
3,2025-09-22,3.四川雅安宝兴__内玉9018,0.9,0.9453153
3,2025-09-23,3.四川雅安宝兴__内玉9018,0.9,0.9415753
3,2025-09-24,3.四川雅安宝兴__内玉9018,0.9,0.943031
3,2025-09-25,3.四川雅安宝兴__内玉9018,0.9,0.94345295
3,2025-09-26,3.四川雅安宝兴__内玉9018,0.9,0.9424817
3,2025-09-27,3.四川雅安宝兴__内玉9018,0.9,0.9427332
3,2025-09-28,3.四川雅安宝兴__内玉9018,0.9,0.94134957
3,2025-09-29,3.四川雅安宝兴__内玉9018,0.9,0.9415016
3,2025-09-30,3.四川雅安宝兴__内玉9018,0.91,0.9397531
3,2025-10-01,3.四川雅安宝兴__内玉9018,0.92,0.95160997
3,2025-10-02,3.四川雅安宝兴__内玉9018,0.93,0.9569571
3,2025-10-03,3.四川雅安宝兴__内玉9018,0.94,0.96843165
3,2025-10-04,3.四川雅安宝兴__内玉9018,0.95,0.9757546
3,2025-10-05,3.四川雅安宝兴__内玉9018,0.96,0.9749747
3,2025-10-06,3.四川雅安宝兴__内玉9018,0.97,0.9744219
3,2025-10-07,3.四川雅安宝兴__内玉9018,0.98,0.9739953
3,2025-10-08,3.四川雅安宝兴__内玉9018,0.99,0.97623336
3,2025-10-09,3.四川雅安宝兴__内玉9018,1.0,0.9765509
