fold,date,group,actual,pred
1,2025-08-01,3.四川雅安宝兴__未知品种,0.0,0.062181503
1,2025-08-01,3.四川雅安宝兴__未知品种,0.0,0.062181503
1,2025-08-01,3.四川雅安宝兴__未知品种,0.0,0.062181503
1,2025-08-01,3.四川雅安宝兴__未知品种,0.0,0.062181503
1,2025-08-08,3.四川雅安宝兴__未知品种,0.0,0.0685096
1,2025-08-08,3.四川雅安宝兴__未知品种,0.0,0.0685096
1,2025-08-08,3.四川雅安宝兴__未知品种,0.0,0.0685096
1,2025-08-08,3.四川雅安宝兴__未知品种,0.0,0.0685096
1,2025-08-15,3.四川雅安宝兴__未知品种,0.04,0.06138808
1,2025-08-15,3.四川雅安宝兴__未知品种,0.0,0.06138808
1,2025-08-15,3.四川雅安宝兴__未知品种,0.0,0.06138808
1,2025-08-15,3.四川雅安宝兴__未知品种,0.0,0.06138808
1,2025-08-25,3.四川雅安宝兴__未知品种,0.14,0.04998504
1,2025-08-25,3.四川雅安宝兴__未知品种,0.14,0.04998504
1,2025-08-25,3.四川雅安宝兴__未知品种,0.14,0.04998504
1,2025-08-25,3.四川雅安宝兴__未知品种,0.38,0.04998504
1,2025-09-04,3.四川雅安宝兴__未知品种,1.0,0.9971768
1,2025-09-04,3.四川雅安宝兴__未知品种,1.0,0.99619275
1,2025-09-04,3.四川雅安宝兴__未知品种,1.0,0.9962359
1,2025-09-04,3.四川雅安宝兴__未知品种,0.88,0.99597466
1,2025-09-11,3.四川雅安宝兴__未知品种,1.0,0.9972666
1,2025-09-11,3.四川雅安宝兴__未知品种,1.0,0.99730974
1,2025-09-11,3.四川雅安宝兴__未知品种,1.0,0.99730974
1,2025-09-11,3.四川雅安宝兴__未知品种,1.0,0.99769235
1,2025-09-18,3.四川雅安宝兴__未知品种,1.0,0.99682355
1,2025-09-18,3.四川雅安宝兴__未知品种,1.0,0.99682355
1,2025-09-18,3.四川雅安宝兴__未知品种,1.0,0.9967804
1,2025-09-18,3.四川雅安宝兴__未知品种,1.0,0.9967804
1,2025-09-29,3.四川雅安宝兴__未知品种,1.0,0.99050254
1,2025-09-29,3.四川雅安宝兴__未知品种,1.0,0.99050254
1,2025-09-29,3.四川雅安宝兴__未知品种,1.0,0.99050254
1,2025-09-29,3.四川雅安宝兴__未知品种,1.0,0.99050254
1,2025-10-09,3.四川雅安宝兴__未知品种,1.0,0.99738985
1,2025-10-09,3.四川雅安宝兴__未知品种,1.0,0.99738985
1,2025-10-09,3.四川雅安宝兴__未知品种,1.0,0.99738985
