fold,date,group,actual,pred
1,2025-08-01,3.四川雅安宝兴__翔玉168,0.0,0.039357822
1,2025-08-02,3.四川雅安宝兴__翔玉168,0.0,0.024763148
1,2025-08-03,3.四川雅安宝兴__翔玉168,0.0,0.024400795
1,2025-08-04,3.四川雅安宝兴__翔玉168,0.0,0.0
1,2025-08-05,3.四川雅安宝兴__翔玉168,0.0,0.056595225
1,2025-08-06,3.四川雅安宝兴__翔玉168,0.0,0.0052875346
1,2025-08-07,3.四川雅安宝兴__翔玉168,0.0,0.0025792024
1,2025-08-08,3.四川雅安宝兴__翔玉168,0.0,0.0
1,2025-08-09,3.四川雅安宝兴__翔玉168,0.0,0.005690533
1,2025-08-10,3.四川雅安宝兴__翔玉168,0.0,0.00600653
1,2025-08-11,3.四川雅安宝兴__翔玉168,0.0,0.006952545
1,2025-08-12,3.四川雅安宝兴__翔玉168,0.0,0.0053271293
1,2025-08-13,3.四川雅安宝兴__翔玉168,0.0,0.002212639
1,2025-08-14,3.四川雅安宝兴__翔玉168,0.0,0.0
1,2025-08-15,3.四川雅安宝兴__翔玉168,0.0,0.0045810556
1,2025-08-16,3.四川雅安宝兴__翔玉168,0.004,0.0031205597
1,2025-08-17,3.四川雅安宝兴__翔玉168,0.008,0.0
1,2025-08-18,3.四川雅安宝兴__翔玉168,0.012000000000000002,0.00980652
1,2025-08-19,3.四川雅安宝兴__翔玉168,0.016,0.011762771
1,2025-08-20,3.四川雅安宝兴__翔玉168,0.02,0.011395403
1,2025-08-21,3.四川雅安宝兴__翔玉168,0.024000000000000004,0.037797455
1,2025-08-22,3.四川雅安宝兴__翔玉168,0.028000000000000004,0.026557252
1,2025-08-23,3.四川雅安宝兴__翔玉168,0.032,0.036007952
1,2025-08-24,3.四川雅安宝兴__翔玉168,0.036000000000000004,0.012382187
1,2025-08-25,3.四川雅安宝兴__翔玉168,0.04,0.017226752
1,2025-08-26,3.四川雅安宝兴__翔玉168,0.06,0.031055942
1,2025-08-27,3.四川雅安宝兴__翔玉168,0.08,0.07867046
1,2025-08-28,3.四川雅安宝兴__翔玉168,0.1,0.12325428
1,2025-08-29,3.四川雅安宝兴__翔玉168,0.12,0.15482908
1,2025-08-30,3.四川雅安宝兴__翔玉168,0.14,0.2133676
1,2025-08-31,3.四川雅安宝兴__翔玉168,0.16,0.23585872
1,2025-09-01,3.四川雅安宝兴__翔玉168,0.18,0.24379036
1,2025-09-02,3.四川雅安宝兴__翔玉168,0.2,0.24898635
1,2025-09-03,3.四川雅安宝兴__翔玉168,0.22,0.24905874
1,2025-09-04,3.四川雅安宝兴__翔玉168,0.24,0.28455326
1,2025-09-05,3.四川雅安宝兴__翔玉168,0.25,0.2828977
1,2025-09-06,3.四川雅安宝兴__翔玉168,0.26,0.27258947
1,2025-09-07,3.四川雅安宝兴__翔玉168,0.27,0.45970586
1,2025-09-08,3.四川雅安宝兴__翔玉168,0.28,0.2872565
1,2025-09-09,3.四川雅安宝兴__翔玉168,0.29,0.28329426
1,2025-09-10,3.四川雅安宝兴__翔玉168,0.3,0.28149635
1,2025-09-11,3.四川雅安宝兴__翔玉168,0.31,0.30559126
1,2025-09-12,3.四川雅安宝兴__翔玉168,0.3257142857142857,0.33532536
1,2025-09-13,3.四川雅安宝兴__翔玉168,0.34142857142857147,0.46095282
1,2025-09-14,3.四川雅安宝兴__翔玉168,0.35714285714285715,0.38616788
1,2025-09-15,3.四川雅安宝兴__翔玉168,0.37285714285714283,0.4252006
1,2025-09-16,3.四川雅安宝兴__翔玉168,0.38857142857142846,0.42848507
1,2025-09-17,3.四川雅安宝兴__翔玉168,0.4042857142857143,0.43789774
1,2025-09-18,3.四川雅安宝兴__翔玉168,0.42,0.45435938
1,2025-09-19,3.四川雅安宝兴__翔玉168,0.43636363636363634,0.47534424
1,2025-09-20,3.四川雅安宝兴__翔玉168,0.45272727272727276,0.4803754
1,2025-09-21,3.四川雅安宝兴__翔玉168,0.46909090909090906,0.48048025
1,2025-09-22,3.四川雅安宝兴__翔玉168,0.48545454545454547,0.49016738
1,2025-09-23,3.四川雅安宝兴__翔玉168,0.5018181818181818,0.535515
1,2025-09-24,3.四川雅安宝兴__翔玉168,0.5181818181818182,0.5474033
