fold,date,group,actual,pred
5,2025-08-01,3.四川雅安宝兴__郑单958,0.0,0.049946263
5,2025-08-02,3.四川雅安宝兴__郑单958,0.0,0.06074126
5,2025-08-03,3.四川雅安宝兴__郑单958,0.0,0.038215257
5,2025-08-04,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-05,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-06,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-07,3.四川雅安宝兴__郑单958,0.0,0.0028525714
5,2025-08-08,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-09,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-10,3.四川雅安宝兴__郑单958,0.0,0.003397913
5,2025-08-11,3.四川雅安宝兴__郑单958,0.0,0.00040918685
5,2025-08-12,3.四川雅安宝兴__郑单958,0.0,0.002048483
5,2025-08-13,3.四川雅安宝兴__郑单958,0.0,0.075536944
5,2025-08-14,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-15,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-16,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-17,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-18,3.四川雅安宝兴__郑单958,0.0,0.054995183
5,2025-08-19,3.四川雅安宝兴__郑单958,0.0,0.015063043
5,2025-08-20,3.四川雅安宝兴__郑单958,0.0,0.020645654
5,2025-08-21,3.四川雅安宝兴__郑单958,0.0,0.025756355
5,2025-08-22,3.四川雅安宝兴__郑单958,0.0,0.017240006
5,2025-08-23,3.四川雅安宝兴__郑单958,0.0,0.022523565
5,2025-08-24,3.四川雅安宝兴__郑单958,0.0,0.007899261
5,2025-08-25,3.四川雅安宝兴__郑单958,0.0,0.03882871
5,2025-08-26,3.四川雅安宝兴__郑单958,0.07,0.065891124
5,2025-08-27,3.四川雅安宝兴__郑单958,0.14,0.06498553
5,2025-08-28,3.四川雅安宝兴__郑单958,0.21,0.093120806
5,2025-08-29,3.四川雅安宝兴__郑单958,0.28,0.14667235
5,2025-08-30,3.四川雅安宝兴__郑单958,0.35,0.22114642
5,2025-08-31,3.四川雅安宝兴__郑单958,0.42,0.3403327
5,2025-09-01,3.四川雅安宝兴__郑单958,0.49,0.41025284
5,2025-09-02,3.四川雅安宝兴__郑单958,0.56,0.4897614
5,2025-09-03,3.四川雅安宝兴__郑单958,0.63,0.5428244
5,2025-09-04,3.四川雅安宝兴__郑单958,0.7,0.615392
5,2025-09-05,3.四川雅安宝兴__郑单958,0.7071428571428571,0.6946005
5,2025-09-06,3.四川雅安宝兴__郑单958,0.7142857142857143,0.6895726
5,2025-09-07,3.四川雅安宝兴__郑单958,0.7214285714285714,0.70148325
5,2025-09-08,3.四川雅安宝兴__郑单958,0.7285714285714286,0.71385455
5,2025-09-09,3.四川雅安宝兴__郑单958,0.7357142857142857,0.71865284
5,2025-09-10,3.四川雅安宝兴__郑单958,0.7428571428571429,0.7487399
5,2025-09-11,3.四川雅安宝兴__郑单958,0.75,0.7423994
5,2025-09-12,3.四川雅安宝兴__郑单958,0.782142857142857,0.7487974
5,2025-09-13,3.四川雅安宝兴__郑单958,0.8142857142857143,0.76122147
5,2025-09-14,3.四川雅安宝兴__郑单958,0.8464285714285714,0.8046594
5,2025-09-15,3.四川雅安宝兴__郑单958,0.8785714285714286,0.8293598
5,2025-09-16,3.四川雅安宝兴__郑单958,0.9107142857142856,0.861153
5,2025-09-17,3.四川雅安宝兴__郑单958,0.9428571428571427,0.8902289
5,2025-09-18,3.四川雅安宝兴__郑单958,0.975,0.92545927
5,2025-09-19,3.四川雅安宝兴__郑单958,0.9772727272727272,0.9312847
5,2025-09-20,3.四川雅安宝兴__郑单958,0.9795454545454544,0.96477747
5,2025-09-21,3.四川雅安宝兴__郑单958,0.981818181818182,0.9642098
5,2025-09-22,3.四川雅安宝兴__郑单958,0.984090909090909,0.9660873
5,2025-09-23,3.四川雅安宝兴__郑单958,0.9863636363636364,0.9640044
5,2025-09-24,3.四川雅安宝兴__郑单958,0.9886363636363636,0.96175176
5,2025-09-25,3.四川雅安宝兴__郑单958,0.990909090909091,0.96142966
5,2025-09-26,3.四川雅安宝兴__郑单958,0.9931818181818179,0.95941085
5,2025-09-27,3.四川雅安宝兴__郑单958,0.9954545454545456,0.9598654
5,2025-09-28,3.四川雅安宝兴__郑单958,0.9977272727272728,0.9586563
5,2025-09-29,3.四川雅安宝兴__郑单958,1.0,0.9595218
5,2025-09-30,3.四川雅安宝兴__郑单958,1.0,0.95860267
5,2025-10-01,3.四川雅安宝兴__郑单958,1.0,0.9590124
5,2025-10-02,3.四川雅安宝兴__郑单958,1.0,0.9602409
5,2025-10-03,3.四川雅安宝兴__郑单958,1.0,0.9590328
5,2025-10-04,3.四川雅安宝兴__郑单958,1.0,0.9591265
5,2025-10-05,3.四川雅安宝兴__郑单958,1.0,0.96016675
5,2025-10-06,3.四川雅安宝兴__郑单958,1.0,0.9599368
5,2025-10-07,3.四川雅安宝兴__郑单958,1.0,0.96037865
5,2025-10-08,3.四川雅安宝兴__郑单958,1.0,0.96508825
5,2025-10-09,3.四川雅安宝兴__郑单958,1.0,0.96418065
