fold,date,group,actual,pred
1,2025-07-30,6.四川泸定燕子沟__华玉919,0.85,0.31822765
1,2025-07-31,6.四川泸定燕子沟__华玉919,0.86875,0.89356536
1,2025-08-01,6.四川泸定燕子沟__华玉919,0.8875,0.88394463
1,2025-08-02,6.四川泸定燕子沟__华玉919,0.90625,0.8895413
1,2025-08-03,6.四川泸定燕子沟__华玉919,0.925,0.90594953
1,2025-08-04,6.四川泸定燕子沟__华玉919,0.94375,0.9409265
1,2025-08-05,6.四川泸定燕子沟__华玉919,0.9625,0.952682
1,2025-08-06,6.四川泸定燕子沟__华玉919,0.98125,0.95527846
1,2025-08-07,6.四川泸定燕子沟__华玉919,1.0,0.96037596
1,2025-08-08,6.四川泸定燕子沟__华玉919,1.0,0.9836315
1,2025-08-09,6.四川泸定燕子沟__华玉919,1.0,0.99293244
1,2025-08-10,6.四川泸定燕子沟__华玉919,1.0,0.9932985
1,2025-08-11,6.四川泸定燕子沟__华玉919,1.0,0.99684495
1,2025-08-12,6.四川泸定燕子沟__华玉919,1.0,0.9960138
1,2025-08-13,6.四川泸定燕子沟__华玉919,1.0,0.99800515
1,2025-08-14,6.四川泸定燕子沟__华玉919,1.0,0.9978877
1,2025-08-15,6.四川泸定燕子沟__华玉919,1.0,0.9912612
1,2025-08-16,6.四川泸定燕子沟__华玉919,1.0,0.99130845
1,2025-08-17,6.四川泸定燕子沟__华玉919,1.0,0.9930389
1,2025-08-18,6.四川泸定燕子沟__华玉919,1.0,0.9947502
1,2025-08-19,6.四川泸定燕子沟__华玉919,1.0,0.9941558
1,2025-08-20,6.四川泸定燕子沟__华玉919,1.0,0.99352497
1,2025-08-21,6.四川泸定燕子沟__华玉919,1.0,1.0
1,2025-08-22,6.四川泸定燕子沟__华玉919,1.0,0.9965807
1,2025-08-23,6.四川泸定燕子沟__华玉919,1.0,1.0
1,2025-08-24,6.四川泸定燕子沟__华玉919,1.0,0.9871411
1,2025-08-25,6.四川泸定燕子沟__华玉919,1.0,0.9846946
1,2025-08-26,6.四川泸定燕子沟__华玉919,1.0,0.98057646
1,2025-08-27,6.四川泸定燕子沟__华玉919,1.0,0.9864683
1,2025-08-28,6.四川泸定燕子沟__华玉919,1.0,0.99682254
1,2025-08-29,6.四川泸定燕子沟__华玉919,1.0,0.9927294
1,2025-08-30,6.四川泸定燕子沟__华玉919,1.0,0.9954693
1,2025-08-31,6.四川泸定燕子沟__华玉919,1.0,0.99094445
1,2025-09-01,6.四川泸定燕子沟__华玉919,1.0,0.9824885
1,2025-09-02,6.四川泸定燕子沟__华玉919,1.0,0.9848477
1,2025-09-03,6.四川泸定燕子沟__华玉919,1.0,0.99006736
1,2025-09-04,6.四川泸定燕子沟__华玉919,1.0,0.98465544
1,2025-09-05,6.四川泸定燕子沟__华玉919,1.0,0.98640394
1,2025-09-06,6.四川泸定燕子沟__华玉919,1.0,0.98800343
1,2025-09-07,6.四川泸定燕子沟__华玉919,1.0,0.9877505
1,2025-09-08,6.四川泸定燕子沟__华玉919,1.0,0.9883544
1,2025-09-09,6.四川泸定燕子沟__华玉919,1.0,0.9834739
1,2025-09-10,6.四川泸定燕子沟__华玉919,1.0,0.9866415
1,2025-09-11,6.四川泸定燕子沟__华玉919,1.0,0.98927844
1,2025-09-12,6.四川泸定燕子沟__华玉919,1.0,0.9845815
1,2025-09-13,6.四川泸定燕子沟__华玉919,1.0,0.9826345
1,2025-09-14,6.四川泸定燕子沟__华玉919,1.0,0.990888
1,2025-09-15,6.四川泸定燕子沟__华玉919,1.0,0.9846246
1,2025-09-16,6.四川泸定燕子沟__华玉919,1.0,0.9878464
1,2025-09-17,6.四川泸定燕子沟__华玉919,1.0,0.99002594
