fold,date,group,actual,pred
1,2025-08-01,宝兴-2__未知品种,0.0,0.045128502
1,2025-08-01,宝兴-2__未知品种,0.0,0.045128502
1,2025-08-01,宝兴-2__未知品种,0.0,0.045128502
1,2025-08-08,宝兴-2__未知品种,0.0,0.043116886
1,2025-08-08,宝兴-2__未知品种,0.0,0.043116886
1,2025-08-08,宝兴-2__未知品种,0.0,0.043116886
1,2025-08-15,宝兴-2__未知品种,0.0,0.046509236
1,2025-08-15,宝兴-2__未知品种,0.0,0.046509236
1,2025-08-15,宝兴-2__未知品种,0.1,0.046509236
1,2025-08-25,宝兴-2__未知品种,0.1,0.28440604
1,2025-08-25,宝兴-2__未知品种,0.1,0.28440604
1,2025-08-25,宝兴-2__未知品种,0.6,0.2874007
1,2025-09-04,宝兴-2__未知品种,1.0,0.96705204
1,2025-09-04,宝兴-2__未知品种,0.825,0.95650005
1,2025-09-04,宝兴-2__未知品种,1.0,0.95077187
1,2025-09-11,宝兴-2__未知品种,1.0,0.997029
1,2025-09-11,宝兴-2__未知品种,1.0,0.9978171
1,2025-09-11,宝兴-2__未知品种,1.0,0.9973161
1,2025-09-18,宝兴-2__未知品种,1.0,0.9996197
1,2025-09-18,宝兴-2__未知品种,1.0,1.0
1,2025-09-18,宝兴-2__未知品种,1.0,0.9944777
1,2025-09-29,宝兴-2__未知品种,1.0,0.9944777
1,2025-09-29,宝兴-2__未知品种,1.0,0.9944777
1,2025-09-29,宝兴-2__未知品种,1.0,0.9944777
1,2025-10-09,宝兴-2__未知品种,1.0,0.9648742
1,2025-10-09,宝兴-2__未知品种,1.0,0.9648742
