fold,date,group,actual,pred
5,2025-08-01,3.四川雅安宝兴__郑单958,0.0,0.00013642835
5,2025-08-02,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-03,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-04,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-05,3.四川雅安宝兴__郑单958,0.0,0.00046271592
5,2025-08-06,3.四川雅安宝兴__郑单958,0.0,0.00046271592
5,2025-08-07,3.四川雅安宝兴__郑单958,0.0,0.000112938564
5,2025-08-08,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-09,3.四川雅安宝兴__郑单958,0.0,0.00053497613
5,2025-08-10,3.四川雅安宝兴__郑单958,0.0,0.0006831383
5,2025-08-11,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-12,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-13,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-14,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-15,3.四川雅安宝兴__郑单958,0.0,0.0011423988
5,2025-08-16,3.四川雅安宝兴__郑单958,0.0,0.00046708915
5,2025-08-17,3.四川雅安宝兴__郑单958,0.0,0.00048146342
5,2025-08-18,3.四川雅安宝兴__郑单958,0.0,0.0006297181
5,2025-08-19,3.四川雅安宝兴__郑单958,0.0,0.00053060614
5,2025-08-20,3.四川雅安宝兴__郑单958,0.0,0.0003100913
5,2025-08-21,3.四川雅安宝兴__郑单958,0.0,0.00060650805
5,2025-08-22,3.四川雅安宝兴__郑单958,0.0,0.0003100913
5,2025-08-23,3.四川雅安宝兴__郑单958,0.0,0.00040594453
5,2025-08-24,3.四川雅安宝兴__郑单958,0.0,0.0002576899
5,2025-08-25,3.四川雅安宝兴__郑单958,0.0,0.0002576899
5,2025-08-26,3.四川雅安宝兴__郑单958,0.010555555555555556,0.00040594453
5,2025-08-27,3.四川雅安宝兴__郑单958,0.021111111111111112,0.009283966
5,2025-08-28,3.四川雅安宝兴__郑单958,0.03166666666666667,0.020788083
5,2025-08-29,3.四川雅安宝兴__郑单958,0.042222222222222223,0.033031277
5,2025-08-30,3.四川雅安宝兴__郑单958,0.05277777777777778,0.053491034
5,2025-08-31,3.四川雅安宝兴__郑单958,0.06333333333333334,0.055222385
5,2025-09-01,3.四川雅安宝兴__郑单958,0.07388888888888889,0.06990024
5,2025-09-02,3.四川雅安宝兴__郑单958,0.08444444444444445,0.07607526
5,2025-09-03,3.四川雅安宝兴__郑单958,0.095,0.11278432
5,2025-09-04,3.四川雅安宝兴__郑单958,0.10555555555555556,0.12057361
5,2025-09-05,3.四川雅安宝兴__郑单958,0.13809523809523808,0.13124931
5,2025-09-06,3.四川雅安宝兴__郑单958,0.17063492063492064,0.1594682
5,2025-09-07,3.四川雅安宝兴__郑单958,0.2031746031746032,0.19802774
5,2025-09-08,3.四川雅安宝兴__郑单958,0.23571428571428568,0.21944475
5,2025-09-09,3.四川雅安宝兴__郑单958,0.26825396825396824,0.24641733
5,2025-09-10,3.四川雅安宝兴__郑单958,0.3007936507936508,0.28832346
5,2025-09-11,3.四川雅安宝兴__郑单958,0.33333333333333326,0.31235036
5,2025-09-12,3.四川雅安宝兴__郑单958,0.36507936507936506,0.35245222
5,2025-09-13,3.四川雅安宝兴__郑单958,0.39682539682539675,0.3894085
5,2025-09-14,3.四川雅安宝兴__郑单958,0.4285714285714285,0.40391812
5,2025-09-15,3.四川雅安宝兴__郑单958,0.4603174603174603,0.45297694
5,2025-09-16,3.四川雅安宝兴__郑单958,0.49206349206349204,0.46881476
5,2025-09-17,3.四川雅安宝兴__郑单958,0.5238095238095238,0.5017688
5,2025-09-18,3.四川雅安宝兴__郑单958,0.5555555555555556,0.52392954
5,2025-09-19,3.四川雅安宝兴__郑单958,0.5777777777777778,0.56252956
5,2025-09-20,3.四川雅安宝兴__郑单958,0.6,0.5767514
5,2025-09-21,3.四川雅安宝兴__郑单958,0.6222222222222222,0.6446266
5,2025-09-22,3.四川雅安宝兴__郑单958,0.6444444444444444,0.63743633
5,2025-09-23,3.四川雅安宝兴__郑单958,0.6666666666666667,0.6387114
5,2025-09-24,3.四川雅安宝兴__郑单958,0.6888888888888889,0.6964787
5,2025-09-25,3.四川雅安宝兴__郑单958,0.7111111111111111,0.6987732
5,2025-09-26,3.四川雅安宝兴__郑单958,0.7333333333333333,0.75459707
5,2025-09-27,3.四川雅安宝兴__郑单958,0.7555555555555555,0.7508418
5,2025-09-28,3.四川雅安宝兴__郑单958,0.7777777777777777,0.7598587
5,2025-09-29,3.四川雅安宝兴__郑单958,0.8,0.8173426
5,2025-09-30,3.四川雅安宝兴__郑单958,0.82,0.81797254
5,2025-10-01,3.四川雅安宝兴__郑单958,0.84,0.82109326
5,2025-10-02,3.四川雅安宝兴__郑单958,0.86,0.88331854
5,2025-10-03,3.四川雅安宝兴__郑单958,0.88,0.8790885
5,2025-10-04,3.四川雅安宝兴__郑单958,0.9,0.8743434
5,2025-10-05,3.四川雅安宝兴__郑单958,0.92,0.8957064
5,2025-10-06,3.四川雅安宝兴__郑单958,0.94,0.8977425
5,2025-10-07,3.四川雅安宝兴__郑单958,0.96,0.90034455
5,2025-10-08,3.四川雅安宝兴__郑单958,0.98,0.907998
5,2025-10-09,3.四川雅安宝兴__郑单958,1.0,0.91024256
