fold,date,group,actual,pred
1,2025-08-01,3.四川雅安宝兴__翔玉168,0.0,0.00014514964
1,2025-08-02,3.四川雅安宝兴__翔玉168,0.0,0.00014514964
1,2025-08-03,3.四川雅安宝兴__翔玉168,0.0,0.00014514964
1,2025-08-04,3.四川雅安宝兴__翔玉168,0.0,0.00013440514
1,2025-08-05,3.四川雅安宝兴__翔玉168,0.0,0.000116340336
1,2025-08-06,3.四川雅安宝兴__翔玉168,0.0,0.00013440514
1,2025-08-07,3.四川雅安宝兴__翔玉168,0.0,0.00011013194
1,2025-08-08,3.四川雅安宝兴__翔玉168,0.0,0.00013411108
1,2025-08-09,3.四川雅安宝兴__翔玉168,0.0,0.00021833289
1,2025-08-10,3.四川雅安宝兴__翔玉168,0.0,0.0012679076
1,2025-08-11,3.四川雅安宝兴__翔玉168,0.0,0.0006568005
1,2025-08-12,3.四川雅安宝兴__翔玉168,0.0,0.0006568005
1,2025-08-13,3.四川雅安宝兴__翔玉168,0.0,0.0006568005
1,2025-08-14,3.四川雅安宝兴__翔玉168,0.0,0.00078327063
1,2025-08-15,3.四川雅安宝兴__翔玉168,0.0,0.00032673826
1,2025-08-16,3.四川雅安宝兴__翔玉168,0.0,0.00047265177
1,2025-08-17,3.四川雅安宝兴__翔玉168,0.0,0.0006650717
1,2025-08-18,3.四川雅安宝兴__翔玉168,0.0,0.00078951794
1,2025-08-19,3.四川雅安宝兴__翔玉168,0.0,0.00077145314
1,2025-08-20,3.四川雅安宝兴__翔玉168,0.0,0.00074089994
1,2025-08-21,3.四川雅安宝兴__翔玉168,0.0,0.00077145314
1,2025-08-22,3.四川雅安宝兴__翔玉168,0.0,0.00074089994
1,2025-08-23,3.四川雅安宝兴__翔玉168,0.0,0.00080026244
1,2025-08-24,3.四川雅安宝兴__翔玉168,0.0,0.0005310288
1,2025-08-25,3.四川雅安宝兴__翔玉168,0.0,0.00026136
1,2025-08-26,3.四川雅安宝兴__翔玉168,0.001,0.0009974559
1,2025-08-27,3.四川雅安宝兴__翔玉168,0.002,0.0029155314
1,2025-08-28,3.四川雅安宝兴__翔玉168,0.003,0.011149964
1,2025-08-29,3.四川雅安宝兴__翔玉168,0.004,0.012122131
1,2025-08-30,3.四川雅安宝兴__翔玉168,0.005,0.012233268
1,2025-08-31,3.四川雅安宝兴__翔玉168,0.006000000000000001,0.0065463777
1,2025-09-01,3.四川雅安宝兴__翔玉168,0.007000000000000001,0.01481648
1,2025-09-02,3.四川雅安宝兴__翔玉168,0.008,0.024394022
1,2025-09-03,3.四川雅安宝兴__翔玉168,0.009000000000000001,0.01240409
1,2025-09-04,3.四川雅安宝兴__翔玉168,0.01,0.021834215
1,2025-09-05,3.四川雅安宝兴__翔玉168,0.011428571428571429,0.012334827
1,2025-09-06,3.四川雅安宝兴__翔玉168,0.012857142857142855,0.012205666
1,2025-09-07,3.四川雅安宝兴__翔玉168,0.014285714285714285,0.012526849
1,2025-09-08,3.四川雅安宝兴__翔玉168,0.015714285714285715,0.012102825
1,2025-09-09,3.四川雅安宝兴__翔玉168,0.01714285714285714,0.012851119
1,2025-09-10,3.四川雅安宝兴__翔玉168,0.01857142857142857,0.02000197
1,2025-09-11,3.四川雅安宝兴__翔玉168,0.02,0.029946854
1,2025-09-12,3.四川雅安宝兴__翔玉168,0.05,0.033829127
1,2025-09-13,3.四川雅安宝兴__翔玉168,0.08,0.08756804
1,2025-09-14,3.四川雅安宝兴__翔玉168,0.11,0.1397711
1,2025-09-15,3.四川雅安宝兴__翔玉168,0.14,0.17624441
1,2025-09-16,3.四川雅安宝兴__翔玉168,0.17,0.22722124
1,2025-09-17,3.四川雅安宝兴__翔玉168,0.2,0.26331735
1,2025-09-18,3.四川雅安宝兴__翔玉168,0.23,0.2854717
1,2025-09-19,3.四川雅安宝兴__翔玉168,0.3,0.30762237
1,2025-09-20,3.四川雅安宝兴__翔玉168,0.37,0.40600654
1,2025-09-21,3.四川雅安宝兴__翔玉168,0.44,0.44866812
1,2025-09-22,3.四川雅安宝兴__翔玉168,0.51,0.53029567
1,2025-09-23,3.四川雅安宝兴__翔玉168,0.58,0.6159752
1,2025-09-24,3.四川雅安宝兴__翔玉168,0.65,0.6566999
1,2025-09-25,3.四川雅安宝兴__翔玉168,0.72,0.68715
1,2025-09-26,3.四川雅安宝兴__翔玉168,0.79,0.74082553
1,2025-09-27,3.四川雅安宝兴__翔玉168,0.86,0.8224335
1,2025-09-28,3.四川雅安宝兴__翔玉168,0.93,0.94023263
1,2025-09-29,3.四川雅安宝兴__翔玉168,1.0,0.9772033
1,2025-09-30,3.四川雅安宝兴__翔玉168,1.0,0.9953253
1,2025-10-01,3.四川雅安宝兴__翔玉168,1.0,0.9965383
1,2025-10-02,3.四川雅安宝兴__翔玉168,1.0,0.9986217
1,2025-10-03,3.四川雅安宝兴__翔玉168,1.0,0.99992114
1,2025-10-04,3.四川雅安宝兴__翔玉168,1.0,0.9988417
1,2025-10-05,3.四川雅安宝兴__翔玉168,1.0,0.99831855
1,2025-10-06,3.四川雅安宝兴__翔玉168,1.0,0.9991559
1,2025-10-07,3.四川雅安宝兴__翔玉168,1.0,0.9981489
1,2025-10-08,3.四川雅安宝兴__翔玉168,1.0,0.9999049
1,2025-10-09,3.四川雅安宝兴__翔玉168,1.0,0.9999049
1,2025-10-10,3.四川雅安宝兴__翔玉168,1.0,0.9998579
1,2025-10-11,3.四川雅安宝兴__翔玉168,1.0,0.9976934
1,2025-10-12,3.四川雅安宝兴__翔玉168,1.0,0.98441565
1,2025-10-13,3.四川雅安宝兴__翔玉168,1.0,0.99608856
1,2025-10-14,3.四川雅安宝兴__翔玉168,1.0,0.9823721
1,2025-10-15,3.四川雅安宝兴__翔玉168,1.0,0.995626
1,2025-10-16,3.四川雅安宝兴__翔玉168,1.0,0.9961934
1,2025-10-17,3.四川雅安宝兴__翔玉168,1.0,0.9708687
1,2025-10-18,3.四川雅安宝兴__翔玉168,1.0,0.95925933
1,2025-10-19,3.四川雅安宝兴__翔玉168,1.0,0.95913285
1,2025-10-20,3.四川雅安宝兴__翔玉168,1.0,0.94509816
