fold,date,group,actual,pred
5,2025-08-01,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-02,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-03,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-04,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-05,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-06,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-07,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-08,3.四川雅安宝兴__郑单958,0.0,0.011698641
5,2025-08-09,3.四川雅安宝兴__郑单958,0.0,0.009513585
5,2025-08-10,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-11,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-12,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-13,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-14,3.四川雅安宝兴__郑单958,0.0,0.0011384806
5,2025-08-15,3.四川雅安宝兴__郑单958,0.0,0.0020152985
5,2025-08-16,3.四川雅安宝兴__郑单958,0.0,0.0
5,2025-08-17,3.四川雅安宝兴__郑单958,0.0,0.003369313
5,2025-08-18,3.四川雅安宝兴__郑单958,0.0,3.759966e-05
5,2025-08-19,3.四川雅安宝兴__郑单958,0.0,0.0047049234
5,2025-08-20,3.四川雅安宝兴__郑单958,0.0,0.0025188322
5,2025-08-21,3.四川雅安宝兴__郑单958,0.0,0.0014103635
5,2025-08-22,3.四川雅安宝兴__郑单958,0.0,0.0017889165
5,2025-08-23,3.四川雅安宝兴__郑单958,0.0,0.0021917447
5,2025-08-24,3.四川雅安宝兴__郑单958,0.0,0.002037172
5,2025-08-25,3.四川雅安宝兴__郑单958,0.0,0.0021914581
5,2025-08-26,3.四川雅安宝兴__郑单958,0.095,0.0028124286
5,2025-08-27,3.四川雅安宝兴__郑单958,0.19,0.113099195
5,2025-08-28,3.四川雅安宝兴__郑单958,0.285,0.21658298
5,2025-08-29,3.四川雅安宝兴__郑单958,0.38,0.2997895
5,2025-08-30,3.四川雅安宝兴__郑单958,0.475,0.41129893
5,2025-08-31,3.四川雅安宝兴__郑单958,0.57,0.48177794
5,2025-09-01,3.四川雅安宝兴__郑单958,0.665,0.5656323
5,2025-09-02,3.四川雅安宝兴__郑单958,0.76,0.641625
5,2025-09-03,3.四川雅安宝兴__郑单958,0.855,0.7114537
5,2025-09-04,3.四川雅安宝兴__郑单958,0.95,0.7917709
5,2025-09-05,3.四川雅安宝兴__郑单958,0.9571428571428572,0.8872553
5,2025-09-06,3.四川雅安宝兴__郑单958,0.9642857142857144,0.9078816
5,2025-09-07,3.四川雅安宝兴__郑单958,0.9714285714285714,0.9370085
5,2025-09-08,3.四川雅安宝兴__郑单958,0.9785714285714286,0.97323555
5,2025-09-09,3.四川雅安宝兴__郑单958,0.9857142857142855,0.9760457
5,2025-09-10,3.四川雅安宝兴__郑单958,0.9928571428571428,0.96871513
5,2025-09-11,3.四川雅安宝兴__郑单958,1.0,0.9723489
5,2025-09-12,3.四川雅安宝兴__郑单958,1.0,0.9825124
5,2025-09-13,3.四川雅安宝兴__郑单958,1.0,0.97770107
5,2025-09-14,3.四川雅安宝兴__郑单958,1.0,0.97877616
5,2025-09-15,3.四川雅安宝兴__郑单958,1.0,0.97804993
5,2025-09-16,3.四川雅安宝兴__郑单958,1.0,0.9807925
5,2025-09-17,3.四川雅安宝兴__郑单958,1.0,0.9721209
5,2025-09-18,3.四川雅安宝兴__郑单958,1.0,0.9798328
5,2025-09-19,3.四川雅安宝兴__郑单958,1.0,0.9777885
5,2025-09-20,3.四川雅安宝兴__郑单958,1.0,0.97690713
5,2025-09-21,3.四川雅安宝兴__郑单958,1.0,0.9762609
5,2025-09-22,3.四川雅安宝兴__郑单958,1.0,0.97676885
5,2025-09-23,3.四川雅安宝兴__郑单958,1.0,0.9758783
5,2025-09-24,3.四川雅安宝兴__郑单958,1.0,0.9685684
5,2025-09-25,3.四川雅安宝兴__郑单958,1.0,0.96122104
5,2025-09-26,3.四川雅安宝兴__郑单958,1.0,0.9847571
5,2025-09-27,3.四川雅安宝兴__郑单958,1.0,0.9763438
5,2025-09-28,3.四川雅安宝兴__郑单958,1.0,0.99428684
5,2025-09-29,3.四川雅安宝兴__郑单958,1.0,0.99913687
5,2025-09-30,3.四川雅安宝兴__郑单958,1.0,0.9984476
5,2025-10-01,3.四川雅安宝兴__郑单958,1.0,0.99905956
5,2025-10-02,3.四川雅安宝兴__郑单958,1.0,0.99904203
5,2025-10-03,3.四川雅安宝兴__郑单958,1.0,0.9973694
5,2025-10-04,3.四川雅安宝兴__郑单958,1.0,0.9991723
5,2025-10-05,3.四川雅安宝兴__郑单958,1.0,0.99833024
5,2025-10-06,3.四川雅安宝兴__郑单958,1.0,0.9982966
5,2025-10-07,3.四川雅安宝兴__郑单958,1.0,0.99844
5,2025-10-08,3.四川雅安宝兴__郑单958,1.0,0.99915344
5,2025-10-09,3.四川雅安宝兴__郑单958,1.0,0.9981674
