fold,date,group,actual,pred
1,2025-07-31,9.云南德宏农科所__垦丰680,0.99,0.002892959
1,2025-08-01,9.云南德宏农科所__垦丰680,0.99,0.9639811
1,2025-08-02,9.云南德宏农科所__垦丰680,0.99,0.9645718
1,2025-08-03,9.云南德宏农科所__垦丰680,0.99,0.969496
1,2025-08-04,9.云南德宏农科所__垦丰680,0.99,0.96851164
1,2025-08-05,9.云南德宏农科所__垦丰680,0.99,0.9675401
1,2025-08-06,9.云南德宏农科所__垦丰680,0.99,0.96859026
1,2025-08-07,9.云南德宏农科所__垦丰680,0.99125,0.9679805
1,2025-08-08,9.云南德宏农科所__垦丰680,0.9925,0.9687091
1,2025-08-09,9.云南德宏农科所__垦丰680,0.99375,0.96918565
1,2025-08-10,9.云南德宏农科所__垦丰680,0.995,0.96918565
1,2025-08-11,9.云南德宏农科所__垦丰680,0.99625,0.96845704
1,2025-08-12,9.云南德宏农科所__垦丰680,0.9975,0.96873087
1,2025-08-13,9.云南德宏农科所__垦丰680,0.99875,0.9691355
1,2025-08-14,9.云南德宏农科所__垦丰680,1.0,0.9691355
1,2025-08-15,9.云南德宏农科所__垦丰680,1.0,0.9692465
1,2025-08-16,9.云南德宏农科所__垦丰680,1.0,0.96873087
1,2025-08-17,9.云南德宏农科所__垦丰680,1.0,0.96958596
1,2025-08-18,9.云南德宏农科所__垦丰680,1.0,0.9688139
1,2025-08-19,9.云南德宏农科所__垦丰680,1.0,0.96944207
1,2025-08-20,9.云南德宏农科所__垦丰680,1.0,0.969031
1,2025-08-21,9.云南德宏农科所__垦丰680,1.0,0.9695562
1,2025-08-22,9.云南德宏农科所__垦丰680,1.0,0.96865034
1,2025-08-23,9.云南德宏农科所__垦丰680,1.0,0.96894515
1,2025-08-24,9.云南德宏农科所__垦丰680,1.0,0.9807335
1,2025-08-25,9.云南德宏农科所__垦丰680,1.0,0.9810219
1,2025-08-26,9.云南德宏农科所__垦丰680,1.0,0.96195203
