fold,date,group,actual,pred
1,2025-08-01,宝兴-2__未知品种,0.0,0.0
1,2025-08-01,宝兴-2__未知品种,0.0,0.0
1,2025-08-01,宝兴-2__未知品种,0.0,0.0
1,2025-08-08,宝兴-2__未知品种,0.0,0.0
1,2025-08-08,宝兴-2__未知品种,0.0,0.0
1,2025-08-08,宝兴-2__未知品种,0.0,0.0
1,2025-08-15,宝兴-2__未知品种,0.0,0.0
1,2025-08-15,宝兴-2__未知品种,0.0,0.0
1,2025-08-15,宝兴-2__未知品种,0.0,0.0
1,2025-08-25,宝兴-2__未知品种,0.0,0.0
1,2025-08-25,宝兴-2__未知品种,0.0,0.0
1,2025-08-25,宝兴-2__未知品种,0.0,0.0
1,2025-09-04,宝兴-2__未知品种,1.0,0.923366
1,2025-09-04,宝兴-2__未知品种,0.0,0.004063184
1,2025-09-04,宝兴-2__未知品种,0.95,0.004063184
1,2025-09-11,宝兴-2__未知品种,1.0,0.9351818
1,2025-09-11,宝兴-2__未知品种,1.0,0.901617
1,2025-09-11,宝兴-2__未知品种,1.0,0.9380454
1,2025-09-18,宝兴-2__未知品种,1.0,0.9856083
1,2025-09-18,宝兴-2__未知品种,1.0,0.98666537
1,2025-09-18,宝兴-2__未知品种,1.0,1.0
1,2025-09-29,宝兴-2__未知品种,1.0,0.93334424
1,2025-09-29,宝兴-2__未知品种,1.0,0.93334424
1,2025-09-29,宝兴-2__未知品种,1.0,0.9325025
1,2025-10-09,宝兴-2__未知品种,1.0,0.9635943
1,2025-10-09,宝兴-2__未知品种,1.0,0.9635943
