feature,xgb_imp,perm_imp,shap_imp
prev_rate,0.23519532,0.0,
土壤湿度(m3 m-3),0.186495,0.0,
prev_index,0.13863029,0.0,
连续高湿天数,0.076616265,0.0,
过去7天平均气温_C,0.06885136,0.0,
弱风日连续天数,0.06496505,0.0,
连续高湿80天数,0.062441066,0.0,
平均气温C_7d,0.0503968,0.0,
平均气温C_14d,0.025247391,0.0,
21天内高湿90天数,0.015060228,0.0,
连续发病适温高湿天数,0.0075002164,0.0,
连续降雨天数,0.0073737684,0.0,
平均相对湿度_21d,0.006513692,0.0,
平均风速_7d,0.006284948,0.0,
连续适温高湿天数,0.005815579,0.0,
过去7天最低气温_C,0.004732263,0.0,
0-10cm土壤相对湿度(percent),0.004164693,0.0,
平均相对湿度_14d,0.003777592,0.0,
过去7天最高湿度_%,0.0035322474,0.0,
10m风速平均值(m/s),0.002964542,0.0,
