feature,xgb_imp,perm_imp,shap_imp
prev_rate,0.22888337,0.0,
连续高湿80天数,0.21312322,0.0,
连续高湿天数,0.18190186,0.0,
prev_index,0.16644742,0.0,
土壤湿度(m3 m-3),0.11566296,0.0,
平均土壤相对湿度_7d,0.018044507,0.0,
0-10cm土壤相对湿度(percent),0.015205067,0.0,
连续降雨天数,0.012836276,0.0,
寡照连续天数,0.012535615,0.0,
平均相对湿度_21d,0.010415418,0.0,
10m风速最大值(m/s),0.0056737084,0.0,
过去7天平均气温_C,0.0033888053,0.0,
10m风速平均值(m/s),0.0026589127,0.0,
24小时内降水量之和(mm),0.0024685876,0.0,
平均风速_7d,0.0016463073,0.0,
过去7天有效积温_C,0.001361669,0.0,
10m风速最小值(m/s),0.00116654,0.0,
2m比湿最大值(kg/kg),0.0011224023,0.0,
2m比湿平均值(kg/kg),0.0010438107,0.0,
气温日较差_C,0.0009936112,0.0,
