feature,xgb_imp,perm_imp,shap_imp
prev_rate,0.21911764,-8.009762974206643e+28,
土壤温度_C,0.16276678,1.1541352299425898e+27,
prev_index,0.1417602,-1.8441779416294209e+28,
地表温度最低_C,0.111192726,-1.4652513871381743e+27,
day_of_year,0.079197735,0.0,
平均气温C_7d,0.03996088,-4.178242650530129e+27,
过去7天最低气温_C,0.038103204,-5.06589871795735e+27,
平均风速_7d,0.036427166,3.476318051765669e+26,
过去7天最高气温_C,0.03299734,0.0,
10m风速平均值(m/s),0.021386117,-1.1626206973379185e+26,
累计降水_21d,0.020515068,0.0,
平均相对湿度_21d,0.012262471,-9.333188941991393e+27,
平均气温C_14d,0.008023296,1.446390506456888e+28,
平均短波辐射21d,0.007845101,-1.5006390489837095e+27,
连续高湿80天数,0.005612072,2.501998557371374e+27,
平均风速_21d,0.005489889,1.9918507443999042e+27,
平均气温C_21d,0.005469693,0.0,
连续高湿天数,0.005416577,2.4724464988532083e+27,
弱风日连续天数,0.0051496318,0.0,
2m比湿最大值(kg/kg),0.004092217,1.941270858243114e+27,
