feature,xgb_imp,perm_imp,shap_imp
prev_index,0.31951806,0.0,
prev_rate,0.21812233,2.053115473522524,
土壤温度_C,0.12603813,-0.0005176071867524001,
day_of_year,0.04630573,0.0,
地表温度最低_C,0.038228475,-0.007931943057279466,
连续高湿80天数,0.0356064,0.0015024591861077853,
平均短波辐射21d,0.03349235,-0.08074866352135088,
平均气温C_21d,0.031090403,0.0,
累计降水_21d,0.021775175,-0.0914339259311534,
弱风日连续天数,0.020072395,0.0,
过去21天有效积温_C,0.013397154,0.0,
连续降雨天数,0.012761107,-7.233021164014808e-05,
过去7天最低气温_C,0.010437156,0.00801287124029093,
寡照连续天数,0.007817222,-0.04170718912604152,
平均相对湿度_14d,0.0077484637,-0.00039055105530509947,
短波辐射最大值(W/m2),0.007441927,-0.019748282823044815,
平均土壤相对湿度_7d,0.0064468146,5.950050891345704e-05,
平均风速_21d,0.006063312,-0.00020961274496058557,
湿度日较差,0.0041930806,-0.00038087638190176243,
连续高湿天数,0.0037093787,5.914540096525478e-05,
