feature,xgb_imp,perm_imp,shap_imp
平均相对湿度_21d,0.23726705,0.0,
prev_index,0.22402996,0.173597780621518,
prev_rate,0.16279991,0.013498937535101696,
平均土壤相对湿度_21d,0.1047234,0.0,
平均风速_21d,0.06602154,0.0,
平均短波辐射21d,0.055179898,0.015226770269001832,
2m比湿平均值(kg/kg),0.030420408,0.0,
2m比湿最小值(kg/kg),0.030378528,0.0,
平均相对湿度_7d,0.010399817,0.0,
连续高湿80天数,0.0092612235,0.0,
连续高湿天数,0.008184131,0.0,
21天内高湿90天数,0.008034551,0.0,
2m比湿最大值(kg/kg),0.0074028396,0.0,
过去7天最低气温_C,0.0065473313,0.0,
过去7天有效积温_C,0.0057960358,0.0,
过去7天平均气温_C,0.005040959,0.0,
平均气温C_7d,0.0036999835,0.0,
气温最低_C,0.0027209602,0.0,
弱风日连续天数,0.002490563,0.0,
10m风速平均值(m/s),0.0024128214,-0.00018427028726843985,
