feature,xgb_imp,perm_imp,shap_imp
prev_rate,0.3036869,0.0,
prev_index,0.24745873,0.0,
平均相对湿度_21d,0.1430641,0.0,
连续高湿80天数,0.08716436,0.0,
平均相对湿度_14d,0.082555495,0.0,
2m比湿平均值(kg/kg),0.045130447,0.0,
平均气温C_7d,0.019013513,0.0,
气温最低_C,0.016457943,0.0,
10m风速最小值(m/s),0.015814383,0.0,
平均气温C_14d,0.008766786,0.0,
连续高湿天数,0.005119121,0.0,
相对湿度_最高_%,0.0042910287,0.0,
过去21天有效积温_C,0.003707578,0.0,
最高相对湿度,0.0025671883,0.0,
平均相对湿度__7d,0.002117648,0.0,
平均短波辐射21d,0.0018093702,0.0,
过去7天平均湿度_%,0.0016594088,0.0,
平均土壤相对湿度_7d,0.0014597911,0.0,
气温平均_C,0.0014597588,0.0,
平均气温C_21d,0.0013734214,0.0,
