feature,xgb_imp,spearman_corr,spearman_abs_imp,perm_imp,shap_imp
连续高湿80天数,0.44814444,0.42556168723806537,0.42556168723806537,1.213872151573272,
连续高湿天数,0.33763918,0.42556168723806537,0.42556168723806537,0.0429294135407964,
土壤湿度(m3 m-3),0.1488853,0.1335268135907811,0.1335268135907811,0.4950763669277928,
连续发病适温高湿天数,0.03161108,0.4688792820473431,0.4688792820473431,0.0013843880436706923,
0-10cm土壤相对湿度(percent),0.024887795,-0.02374855063219904,0.02374855063219904,0.01578499921219656,
2m比湿平均值(kg/kg),0.0019371178,0.20781798381230204,0.20781798381230204,0.008692542364319,
平均相对湿度_21d,0.0013831157,0.3720854808217824,0.3720854808217824,0.031079364483494888,
连续降雨天数,0.0006623301,0.3489220377187533,0.3489220377187533,0.0014241010444322245,
21天内高湿90天数,0.000630786,0.337053498100334,0.337053498100334,0.004617919426190387,
弱风日连续天数,0.0006153991,-0.22729027928231124,0.22729027928231124,0.0018294243725702542,
连续高湿90天数,0.00055980217,0.3505164361354136,0.3505164361354136,0.0016040846443733602,
平均土壤相对湿度_7d,0.00048289596,-0.0053394491230514375,0.0053394491230514375,0.0006114781821205728,
平均风速_7d,0.00020562811,0.29198770759894793,0.29198770759894793,0.004592019400496916,
相对湿度_最高_%,0.00020140299,0.2471927920590253,0.2471927920590253,0.0001084769844814204,
气温最低_C,0.00017359492,0.19362523085040467,0.19362523085040467,4.349700569892256e-05,
湿度日较差_%,0.00014408871,0.1813584279118006,0.1813584279118006,2.0130900350134873e-05,
2m比湿最大值(kg/kg),0.00014015383,0.13178965365349266,0.13178965365349266,-0.0005575110557543006,
连续适温天数,0.00013220361,0.3538236367415872,0.3538236367415872,3.326763671249733e-05,
过去7天平均风速_ms,0.00012907974,0.29198770759894793,0.29198770759894793,0.00017564545925210506,
连续发病适温天数,0.00011797764,0.3538236367415872,0.3538236367415872,0.00015523489153659308,
