feature,xgb_imp,spearman_corr,spearman_abs_imp,perm_imp,shap_imp
21天内高湿80天数,0.25216123,0.5896174546279644,0.5896174546279644,0.09462232751345516,
过去7天最低气温_C,0.13415624,-0.07595505331196903,0.07595505331196903,0.28123849077324026,
平均相对湿度_21d,0.12298476,0.5636230973869544,0.5636230973869544,0.5031613314647723,
连续高湿天数,0.11452464,0.5273362641951009,0.5273362641951009,0.025154258820874055,
平均土壤相对湿度_14d,0.10250906,-0.016238813428828148,0.016238813428828148,0.046483448985022144,
弱风日连续天数,0.07050607,0.15478119400324192,0.15478119400324192,0.12192311097937414,
平均土壤相对湿度_21d,0.02989326,0.060353003074496626,0.060353003074496626,0.005407460799490282,
过去7天最高气温_C,0.023966769,-0.4060907958212971,0.4060907958212971,0.00772020644316509,
平均气温C_14d,0.022949377,-0.2956772700811206,0.2956772700811206,0.005542925864525716,
平均气温C_7d,0.02184599,-0.28422685243633244,0.28422685243633244,0.0017338578657130732,
2m比湿最小值(kg/kg),0.016979026,-0.04760554686663914,0.04760554686663914,0.030336759109194422,
过去7天最高湿度_%,0.014260894,0.21605613013729047,0.21605613013729047,0.004968938863997874,
2m比湿平均值(kg/kg),0.012183512,-0.09597309224097014,0.09597309224097014,0.007717765930130627,
过去7天最大单日降雨_mm,0.011030599,-0.12519205755688434,0.12519205755688434,0.00045236912111961124,
平均短波辐射21d,0.00788538,-0.5623660065876516,0.5623660065876516,0.031152197020603522,
平均土壤相对湿度_7d,0.0063420325,-0.07684480467525193,0.07684480467525193,0.007553726409738326,
24h_温差_C,0.0059049963,-0.16285283905745124,0.16285283905745124,-0.0066846255665664826,
过去7天平均气温_C,0.0054411767,-0.28422685243633244,0.28422685243633244,-1.8060922810625434e-05,
连续适温天数,0.004803715,0.22558128964646973,0.22558128964646973,0.0036390601894583873,
平均气温C_21d,0.0033307194,-0.30967402166743496,0.30967402166743496,0.002717681439140529,
