feature,大斑病_index,大斑病_rate,灰斑病_index,灰斑病_rate,白斑病_index,白斑病_rate
土壤温度_C,,,-0.7171134724676765,-0.6730007676387773,,
地表温度平均_C,,,-0.7074385981371385,-0.6629361096122726,,-0.2954984854371174
平均气温C_21d,,0.0949628931371247,-0.6850554477642843,-0.6532746114078177,-0.4407747619086285,-0.4403210320728461
地表温度最低_C,,,-0.6824987057593909,-0.6369297011431657,,-0.2200742728468803
平均气温C_7d,,,-0.679933310391569,-0.6294345408168559,-0.4085032712741151,-0.405374470878923
平均气温C_14d,,0.0904861910530789,-0.6797563749209172,,-0.4263082250305823,
气温最低_C,,,-0.6585827222964165,-0.6000883118605751,,-0.2964801948247593
过去7天最高气温_C,,,-0.6120312282558382,,,-0.4765165455234886
过去21天有效积温_C,,,-0.6104372555556364,-0.5735036399568503,-0.3941175764543397,-0.3944489233755738
平均短波辐射21d,-0.3263627394680641,,-0.3376318937198476,-0.3041662248386945,-0.5816344807708386,-0.5793327815007996
过去7天最低气温_C,,0.3607127393537997,,-0.5501263473651583,-0.2606333832041432,-0.2554851663938867
21天内高湿80天数,,,,,0.534371361613534,0.5400745475589259
平均相对湿度_21d,0.4310873955480296,0.4321302683812694,0.392577743048369,0.3893436900638209,0.5098337555853593,0.5163523849247067
连续发病适温高湿天数,0.5080546860145769,0.5069570649008532,,,,
连续适温高湿天数,,0.5069570649008532,,,,
平均短波辐射7d,,,,,-0.483394121092375,
连续高湿80天数,0.4678996411688551,0.4668012506264414,,,0.4089744497675499,0.4157809168165874
连续高湿天数,0.4678996411688551,,,,,
平均相对湿度_14d,0.4332105245988288,0.4344628208335928,0.3332687163922965,0.3340886879221358,0.4650391383450851,
21天内高湿90天数,0.4166751245161945,0.4175279519310529,,,0.4493779814256358,0.4612014837466276
平均相对湿度_7d,0.4337686476984532,,,,,
连续降雨天数,0.4217482226445549,,,,,
平均风速_21d,,0.403790306579855,0.2107474858645942,0.2506230512274768,,
2m比湿平均值(kg/kg),0.21449590848276,0.212731380466229,,-0.371444002074431,-0.2683951398035018,-0.2617119783516392
累计降水_21d,0.3347243773271826,,,0.085451437557683,0.1454547813685555,
弱风日连续天数,,-0.2146879637079262,0.2661954281746072,0.2064221247141226,0.3218869551603118,0.3143817025924125
2m比湿最大值(kg/kg),,,,,,-0.3207712705919359
过去7天最低湿度_%,0.3204410481797825,,0.2865083400211667,0.3053573298061696,,
平均风速_7d,0.2987979499979293,0.2984327071435104,0.2235036390307858,,-0.0192894703067596,
10m风速最小值(m/s),0.2780446760472255,,,,-0.1539258487147178,
2m比湿最小值(kg/kg),,0.2777071013582695,,,-0.2207144527811451,-0.2139196368332758
24小时内最大降水量(mm),0.2694356829435508,,,,,
10m风速平均值(m/s),0.2469444499568312,0.2470200256861358,0.2241264769639799,0.2146714228256495,-0.0121208348425891,-0.0083177435856137
土壤湿度(m3 m-3),0.069985190492789,0.071162606046996,,0.2323474154355068,,
过去7天平均风速_ms,,,,0.2273633380196478,,
10m风速最大值(m/s),,,,,0.1652890311400083,
平均土壤相对湿度_7d,-0.0353398818567452,-0.0335143511192587,,,,0.1579077672378152
气温平均_C,,0.079854756738422,,,,
累计降水_14d,,,,,,0.0674982799211484
0-10cm土壤相对湿度(percent),-0.0618489917287734,-0.0609733990504031,-0.0080522907460441,-0.0328745790390813,,
平均土壤相对湿度_21d,0.0594524443221346,0.061411756650108,,,,
连续发病适温天数,,,0.013875668049457,,,
7天最大单日降雨_mm,,,-0.013640246331689,,,
