模型,病害,指标类型,目标变量,feature,spearman_corr,spearman_abs_imp,spearman_rank
大斑病_index,大斑病,病情指数,大斑病病情指数,连续发病适温高湿天数,0.5080546860145769,0.5080546860145769,1
大斑病_index,大斑病,病情指数,大斑病病情指数,连续高湿80天数,0.46789964116885513,0.46789964116885513,2
大斑病_index,大斑病,病情指数,大斑病病情指数,连续高湿天数,0.46789964116885513,0.46789964116885513,3
大斑病_index,大斑病,病情指数,大斑病病情指数,平均相对湿度_7d,0.4337686476984532,0.4337686476984532,4
大斑病_index,大斑病,病情指数,大斑病病情指数,平均相对湿度_14d,0.43321052459882886,0.43321052459882886,5
大斑病_index,大斑病,病情指数,大斑病病情指数,平均相对湿度_21d,0.43108739554802966,0.43108739554802966,6
大斑病_index,大斑病,病情指数,大斑病病情指数,连续降雨天数,0.4217482226445549,0.4217482226445549,7
大斑病_index,大斑病,病情指数,大斑病病情指数,21天内高湿90天数,0.41667512451619454,0.41667512451619454,8
大斑病_index,大斑病,病情指数,大斑病病情指数,累计降水_21d,0.3347243773271826,0.3347243773271826,9
大斑病_index,大斑病,病情指数,大斑病病情指数,平均短波辐射21d,-0.3263627394680641,0.3263627394680641,10
大斑病_index,大斑病,病情指数,大斑病病情指数,过去7天最低湿度_%,0.32044104817978253,0.32044104817978253,11
大斑病_index,大斑病,病情指数,大斑病病情指数,平均风速_7d,0.29879794999792936,0.29879794999792936,12
大斑病_index,大斑病,病情指数,大斑病病情指数,10m风速最小值(m/s),0.27804467604722555,0.27804467604722555,13
大斑病_index,大斑病,病情指数,大斑病病情指数,24小时内最大降水量(mm),0.2694356829435508,0.2694356829435508,14
大斑病_index,大斑病,病情指数,大斑病病情指数,10m风速平均值(m/s),0.24694444995683124,0.24694444995683124,15
大斑病_index,大斑病,病情指数,大斑病病情指数,2m比湿平均值(kg/kg),0.21449590848276004,0.21449590848276004,16
大斑病_index,大斑病,病情指数,大斑病病情指数,土壤湿度(m3 m-3),0.06998519049278906,0.06998519049278906,17
大斑病_index,大斑病,病情指数,大斑病病情指数,0-10cm土壤相对湿度(percent),-0.06184899172877342,0.06184899172877342,18
大斑病_index,大斑病,病情指数,大斑病病情指数,平均土壤相对湿度_21d,0.05945244432213463,0.05945244432213463,19
大斑病_index,大斑病,病情指数,大斑病病情指数,平均土壤相对湿度_7d,-0.03533988185674524,0.03533988185674524,20
大斑病_rate,大斑病,发病株率,大斑病发病株率,连续发病适温高湿天数,0.5069570649008532,0.5069570649008532,1
大斑病_rate,大斑病,发病株率,大斑病发病株率,连续适温高湿天数,0.5069570649008532,0.5069570649008532,2
大斑病_rate,大斑病,发病株率,大斑病发病株率,连续高湿80天数,0.46680125062644146,0.46680125062644146,3
大斑病_rate,大斑病,发病株率,大斑病发病株率,平均相对湿度_14d,0.43446282083359283,0.43446282083359283,4
大斑病_rate,大斑病,发病株率,大斑病发病株率,平均相对湿度_21d,0.43213026838126944,0.43213026838126944,5
大斑病_rate,大斑病,发病株率,大斑病发病株率,21天内高湿90天数,0.41752795193105297,0.41752795193105297,6
大斑病_rate,大斑病,发病株率,大斑病发病株率,平均风速_21d,0.403790306579855,0.403790306579855,7
大斑病_rate,大斑病,发病株率,大斑病发病株率,过去7天最低气温_C,0.3607127393537997,0.3607127393537997,8
大斑病_rate,大斑病,发病株率,大斑病发病株率,平均风速_7d,0.29843270714351045,0.29843270714351045,9
大斑病_rate,大斑病,发病株率,大斑病发病株率,2m比湿最小值(kg/kg),0.2777071013582695,0.2777071013582695,10
大斑病_rate,大斑病,发病株率,大斑病发病株率,10m风速平均值(m/s),0.24702002568613585,0.24702002568613585,11
大斑病_rate,大斑病,发病株率,大斑病发病株率,弱风日连续天数,-0.21468796370792628,0.21468796370792628,12
大斑病_rate,大斑病,发病株率,大斑病发病株率,2m比湿平均值(kg/kg),0.21273138046622908,0.21273138046622908,13
大斑病_rate,大斑病,发病株率,大斑病发病株率,平均气温C_21d,0.09496289313712475,0.09496289313712475,14
大斑病_rate,大斑病,发病株率,大斑病发病株率,平均气温C_14d,0.09048619105307898,0.09048619105307898,15
大斑病_rate,大斑病,发病株率,大斑病发病株率,气温平均_C,0.07985475673842207,0.07985475673842207,16
大斑病_rate,大斑病,发病株率,大斑病发病株率,土壤湿度(m3 m-3),0.07116260604699605,0.07116260604699605,17
大斑病_rate,大斑病,发病株率,大斑病发病株率,平均土壤相对湿度_21d,0.061411756650108,0.061411756650108,18
大斑病_rate,大斑病,发病株率,大斑病发病株率,0-10cm土壤相对湿度(percent),-0.060973399050403145,0.060973399050403145,19
大斑病_rate,大斑病,发病株率,大斑病发病株率,平均土壤相对湿度_7d,-0.03351435111925875,0.03351435111925875,20
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,土壤温度_C,-0.7171134724676765,0.7171134724676765,1
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,地表温度平均_C,-0.7074385981371385,0.7074385981371385,2
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,平均气温C_21d,-0.6850554477642843,0.6850554477642843,3
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,地表温度最低_C,-0.6824987057593909,0.6824987057593909,4
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,平均气温C_7d,-0.679933310391569,0.679933310391569,5
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,平均气温C_14d,-0.6797563749209172,0.6797563749209172,6
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,气温最低_C,-0.6585827222964165,0.6585827222964165,7
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,过去7天最高气温_C,-0.6120312282558382,0.6120312282558382,8
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,过去21天有效积温_C,-0.6104372555556364,0.6104372555556364,9
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,平均相对湿度_21d,0.392577743048369,0.392577743048369,10
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,平均短波辐射21d,-0.3376318937198476,0.3376318937198476,11
灰斑病_index,灰斑病,病情指数,灰斑病病情指数,平均相对湿度_14d,0.3332687163922965,0.3332687163922965,12
